Question,Answer
69 + 64 + 1401.9952,1534.9952
8016.849 + 3703.7303 + 490.0481,12210.6274
51 + 2 + 7637.2919,7690.2919
10 + 2498.5738 + 5808.3606,8316.9344
5784.6786 + 31 + 1869.6713,7685.3499
734.4963 + 78 + 13,825.4963
5961.1861 + 451.3504 + 38,6450.5365
1163.1873 + 6285.1168 + 84,7532.3041
8677.0922 + 82 + 78,8837.0922
94 + 26 + 8,128.0
83 + 60 + 24,167.0
24 + 2685.4958 + 8503.8665,11213.3623
4627.6672 + 4 + 849.043,5480.7102
32 + 3265.1358 + 67,3364.1358
5478.3301 + 8793.948 + 9658.7011,23930.9792
4964.605 + 74 + 39,5077.605
24 + 64 + 5861.1405,5949.1405
93 + 70 + 64,227.0
630.0159 + 57 + 647.6604,1334.6763
78 + 1618.6517 + 2834.7882,4531.4399
2 + 48 + 2412.5165,2462.5165
4194.5093 + 41 + 48,4283.5093
6583.7506 + 72 + 9,6664.7506
9 + 440.5838 + 41,490.5838
49 + 8707.4247 + 67,8823.4247
68 + 5768.8966 + 39,5875.8966
62 + 1544.6548 + 95,1701.6548
2 + 44 + 2532.2354,2578.2354
87 + 91 + 99,277.0
9011.9676 + 9990.3846 + 80,19082.3522
3700.1887 + 1558.3667 + 61,5319.5554
4531.7953 + 492.4926 + 7561.3739,12585.6618
18 + 4389.1918 + 12,4419.1918
2735.6124 + 606.2165 + 55,3396.8289
62 + 7040.0583 + 67,7169.0583
6760.8078 + 688.6678 + 4181.3972,11630.8728
7811.7005 + 3739.055 + 5037.4915,16588.247
4826.4626 + 2786.5408 + 33,7646.0034
9948.344 + 3681.9253 + 627.1149,14257.3842
91 + 18 + 71,180.0
23 + 7916.9243 + 73,8012.9243
7346.5543 + 29 + 72,7447.5543
2785.9407 + 77 + 40,2902.9407
45 + 63 + 7269.907,7377.907
1858.8188 + 9814.552 + 5569.9555,17243.3263
548.6958 + 9755.976 + 95,10399.6718
6985.6343 + 32 + 869.7942,7887.4285
88 + 1 + 8955.5953,9044.5953
18 + 91 + 16,125.0
75 + 84 + 6703.3596,6862.3596
5270.076 + 6579.1818 + 6872.7981,18722.0559
16 + 925.157 + 99,1040.157
7418.3334 + 766.8584 + 69,8254.1918
2482.6937 + 7049.0702 + 55,9586.7639
52 + 6 + 31,89.0
3635.8764 + 558.8268 + 10,4204.7032
53 + 331.6609 + 6877.8149,7262.4758
4578.0371 + 8629.1375 + 89,13296.1746
9083.062 + 1179.4119 + 23,10285.4739
40 + 9983.4709 + 7341.526,17364.9969
69 + 62 + 61,192.0
7212.8295 + 9509.1475 + 70,16791.977
5651.7841 + 52 + 3391.3393,9095.1234
68 + 35 + 90,193.0
1415.4614 + 7158.0769 + 34,8607.5383
26 + 28 + 7538.8971,7592.8971
8363.5245 + 6254.0993 + 61,14678.6238
402.7646 + 2788.7954 + 3,3194.56
36 + 8553.3409 + 7775.2856,16364.6265
79 + 23 + 1,103.0
7924.6863 + 75 + 3388.7115,11388.3978
5848.9425 + 45 + 27,5920.9425
3 + 9489.6868 + 13,9505.6868
3230.3644 + 45 + 28,3303.3644
4318.8263 + 75 + 6083.4261,10477.2524
18 + 78 + 21,117.0
4886.4518 + 75 + 98,5059.4518
469.9353 + 53 + 7757.7779,8280.7132
58 + 58 + 5638.8007,5754.8007
4742.4748 + 615.3084 + 31,5388.7832
1946.815 + 9820.7489 + 537.7276,12305.2915
6395.2783 + 36 + 87,6518.2783
3466.6077 + 6025.9827 + 58,9550.5904
6358.8366 + 88 + 7768.1561,14214.9927
18 + 68 + 82,168.0
89 + 52.6958 + 6190.1502,6331.846
1750.946 + 1178.6119 + 100,3029.5579
44 + 4836.8999 + 2685.1117,7566.0116
2118.8048 + 7822.4679 + 4731.6981,14672.9708
7700.1687 + 9837.7668 + 27,17564.9355
18 + 2912.1235 + 97,3027.1235
27 + 90 + 53,170.0
93 + 45 + 62,200.0
42 + 68 + 638.6277,748.6277
76 + 75 + 12,163.0
91 + 63 + 7061.9891,7215.9891
83 + 2888.8722 + 42,3013.8722
46 + 7985.1756 + 8970.6348,17001.8104
67 + 91 + 3564.905,3722.905
7407.3529 + 9729.7986 + 56,17193.1515
7649.9584 + 9421.6573 + 3,17074.6157
2035.8193 + 6163.7186 + 90,8289.5379
63 + 7221.5531 + 44,7328.5531
7 + 92 + 25,124.0
7009.7965 + 68 + 61,7138.7965
8017.2816 + 31 + 89,8137.2816
12 + 60 + 78,150.0
6389.837 + 2 + 16,6407.837
6429.9171 + 6795.0727 + 57,13281.9898
925.5264 + 2666.2351 + 8941.8888,12533.6503
4884.0017 + 1455.9595 + 5563.1989,11903.1601
768.8755 + 84 + 1808.3791,2661.2546
5259.3246 + 3910.5217 + 40,9209.8463
