Question,Answer
8864 + 9396.62,18260.62
9090.15 + 4399,13489.15
6865.96 + 7567.68,14433.64
3228 + 5184.71,8412.71
4210.24 + 2938,7148.24
7761.61 + 3221.29,10982.9
5419 + 5009.36,10428.36
3997 + 8721.18,12718.18
9464.61 + 13.0,9477.61
8807.17 + 1123.26,9930.43
1078 + 9467,10545.0
2684 + 8820.92,11504.92
8350 + 9165,17515.0
7567.13 + 1970.05,9537.18
2551.53 + 7279,9830.53
746.15 + 1309.11,2055.26
6424.85 + 3844,10268.85
2639.33 + 3826.88,6466.21
3264 + 5736,9000.0
9811.35 + 4382.14,14193.49
8714 + 4912,13626.0
9898 + 121.88,10019.88
8897 + 5046,13943.0
6045 + 3044,9089.0
6101 + 2657.49,8758.49
2958.2 + 8810,11768.2
1979.54 + 218.84,2198.38
456.18 + 3383.02,3839.2
2215 + 43.52,2258.52
8872 + 2918,11790.0
2843 + 746.31,3589.31
9896.57 + 9481,19377.57
5546.6 + 3939,9485.6
3026.12 + 2926,5952.12
6840 + 3770,10610.0
3776.57 + 4547,8323.57
8671 + 2374,11045.0
9368 + 2170,11538.0
1737 + 3320,5057.0
1600 + 5000,6600.0
5222 + 5459.23,10681.23
4680 + 4469,9149.0
3551.19 + 7813,11364.19
3224 + 2277,5501.0
7187.23 + 1579.15,8766.38
3637.7 + 5533,9170.7
9668.64 + 968.95,10637.59
633 + 1362.27,1995.27
589 + 2397.36,2986.36
5749.01 + 6624.31,12373.32
1505.28 + 2150,3655.28
2454 + 8119,10573.0
1575 + 4645,6220.0
7169.47 + 7640.14,14809.61
925.15 + 5901,6826.15
3545 + 7203.35,10748.35
7126.44 + 5669.42,12795.86
9434.52 + 8610,18044.52
9143.68 + 3274.32,12418.0
9790.43 + 8622,18412.43
4457 + 1237,5694.0
1827.11 + 984,2811.11
2314.54 + 224.99,2539.53
9094.91 + 1483.38,10578.29
9315 + 4732.97,14047.97
6718 + 506,7224.0
592.74 + 8631.27,9224.01
5728.17 + 3559.11,9287.28
7023 + 6502.44,13525.44
2394 + 129,2523.0
4877.59 + 8603.58,13481.17
290 + 3453,3743.0
6009 + 296.81,6305.81
7397 + 9764.59,17161.59
5724.75 + 5667,11391.75
4605 + 6221,10826.0
1913.27 + 3887,5800.27
4954.99 + 5738,10692.99
1404 + 1850.1,3254.1
7544 + 1757.48,9301.48
7448 + 7960,15408.0
2358.15 + 5253.06,7611.21
6710.89 + 3184,9894.89
5152 + 1657,6809.0
2038 + 4122,6160.0
7530.55 + 4136.64,11667.19
7959 + 9068.18,17027.18
8109.65 + 597.91,8707.56
7163 + 9143,16306.0
2906.31 + 3762.24,6668.55
7242 + 241,7483.0
7713 + 502,8215.0
2566 + 3327,5893.0
2092 + 1385,3477.0
4257.19 + 810,5067.19
273 + 3637,3910.0
1614 + 4745,6359.0
7531 + 2129,9660.0
3459.91 + 1605,5064.91
1739.51 + 6812,8551.51
3713.54 + 2086.02,5799.56
4999 + 2079,7078.0
4877.69 + 9543.57,14421.26
9711.36 + 1043,10754.36
2040.16 + 7540,9580.16
8255.11 + 4484.46,12739.57
5072 + 8390,13462.0
1595 + 3804,5399.0
4961.73 + 6183.81,11145.54
3748.27 + 9452.84,13201.11
411.93 + 481,892.93
966 + 3391,4357.0
5846 + 3432,9278.0
6117.13 + 4250,10367.13
4476.77 + 1262.14,5738.91
6210.42 + 5288,11498.42
2666.3 + 5542,8208.3
7140 + 3514.25,10654.25
813 + 8053,8866.0
6223 + 6096.97,12319.97
4905.55 + 941,5846.55
8977.51 + 7648,16625.51
7278 + 4383,11661.0
4353 + 2885.61,7238.61
351.58 + 4134.85,4486.43
7940 + 1451,9391.0
1746.47 + 9014.61,10761.08
5353.63 + 7045,12398.63
8202.7 + 1718.71,9921.41
1845.12 + 5339.54,7184.66
5348.83 + 875,6223.83
3421 + 3090,6511.0
8123 + 7572,15695.0
7170.88 + 9998.35,17169.23
1037 + 7502.38,8539.38
5425 + 342,5767.0
7325 + 9677.28,17002.28
1617 + 8136,9753.0
8053.43 + 2358,10411.43
1334.84 + 1730,3064.84
2988.92 + 8493.32,11482.24
3490.47 + 8926.32,12416.79
4816 + 2984,7800.0
9337 + 8308,17645.0
6994 + 7678.47,14672.47
908.64 + 5747,6655.64
9506 + 4902,14408.0
2216.99 + 6443,8659.99
5011 + 8153.44,13164.44
8537.46 + 9598,18135.46
5918.4 + 8345.74,14264.14
1043 + 7596,8639.0
7258 + 3864.2,11122.2
7418 + 5485,12903.0
4019 + 3177.76,7196.76
7048 + 5796,12844.0
1277 + 3557,4834.0
5492.92 + 1920.17,7413.09
2587 + 9597,12184.0
1890.28 + 5888.03,7778.31
5637.51 + 7546.95,13184.46
926 + 2999,3925.0
9859.94 + 1394.07,11254.01
8754.32 + 7667,16421.32
4218.65 + 2670.31,6888.96
154 + 873.73,1027.73
8381.31 + 2983.46,11364.77
6937.76 + 2048,8985.76
777.3 + 7948.35,8725.65
4952 + 4507,9459.0
2744.17 + 8539,11283.17
2154 + 7170,9324.0
6941.99 + 2389,9330.99
6045.31 + 2473,8518.31
4479 + 9063.17,13542.17
715.53 + 4283,4998.53
5316 + 7480,12796.0
1708.33 + 2627,4335.33
2514.98 + 5679.51,8194.49
194.65 + 9523,9717.65
1742.43 + 2744.35,4486.78
2642.31 + 6521,9163.31
7076.3 + 8881.83,15958.13
3142.13 + 7341,10483.13
6125 + 7194.53,13319.53
3127.48 + 2406.11,5533.59
1386 + 1018.83,2404.83
1596.0 + 5032.94,6628.94
2041.7 + 261.29,2302.99
3946.21 + 5724.37,9670.58
6201 + 5674.54,11875.54
3857 + 7083.32,10940.32
2907 + 7999.66,10906.66
8748.26 + 9074.33,17822.59
5457.08 + 4924.39,10381.47
5204.63 + 1871,7075.63
7319.41 + 1286,8605.41
6504 + 1226.8,7730.8
7299.3 + 4013.01,11312.31
9962.84 + 6184.94,16147.78
4683.49 + 3086,7769.49
4181.06 + 2747.66,6928.72
5235 + 4316,9551.0
4350 + 8441,12791.0
9567.19 + 5326,14893.19
8032 + 3414,11446.0
9136.36 + 8474,17610.36
1854.24 + 9428.13,11282.37
6152 + 7329.38,13481.38
5915.73 + 985,6900.73
8688.39 + 3980,12668.39
1313 + 4672,5985.0
328.2 + 7547.93,7876.13
7834 + 1360.7,9194.7
9534 + 8649,18183.0
7661 + 6219.26,13880.26
8472 + 8763.4,17235.4
5685.37 + 5151.69,10837.06
4455.86 + 7115.64,11571.5
1406 + 6958.14,8364.14
8876 + 616,9492.0
7859.85 + 6234,14093.85
2057.44 + 2396,4453.44
947.79 + 1520.93,2468.72
2087.34 + 5362,7449.34
3574.23 + 909.56,4483.79
5124 + 9805.35,14929.35
7764 + 8831,16595.0
7470 + 9906.07,17376.07
7152 + 3345,10497.0
7240.02 + 6151.0,13391.02
6498.51 + 6322,12820.51
8833.84 + 2025,10858.84
8923.5 + 2285,11208.5
5465.23 + 9939.9,15405.13
8216.85 + 8853.14,17069.99
6231 + 5629.42,11860.42
3905 + 7107.31,11012.31
1944 + 7583,9527.0
5462 + 3648,9110.0
5005 + 8942.15,13947.15
6383 + 13.56,6396.56
5762.3 + 9635,15397.3
4560.11 + 2947,7507.11
4768.94 + 7914.96,12683.9
3174 + 6380,9554.0
2496.99 + 3782.69,6279.68
8383.29 + 3756.15,12139.44
8410.22 + 5409.63,13819.85
565.39 + 7409.53,7974.92
4041.16 + 5416.03,9457.19
7777.7 + 7097,14874.7
1232 + 6829,8061.0
8584.97 + 2970,11554.97
5744.85 + 730.64,6475.49
2555 + 5325,7880.0
115 + 6846.87,6961.87
3433 + 3553.52,6986.52
635.22 + 6078,6713.22
6582.34 + 9413.92,15996.26
3030.49 + 5562,8592.49
4352.55 + 8077.64,12430.19
4473.72 + 9668,14141.72
8307.19 + 1065,9372.19
341 + 5861.88,6202.88
202 + 1878.86,2080.86
816.49 + 3079,3895.49
4158.42 + 9030.03,13188.45
9804 + 8077.99,17881.99
6964.61 + 3216.8,10181.41
9148.42 + 5908.88,15057.3
8861.96 + 4954,13815.96
2909 + 3264.42,6173.42
2339.85 + 7617.3,9957.15
3488.69 + 8816.59,12305.28
5158 + 9087,14245.0
797.39 + 3468.5,4265.89
3429 + 2295,5724.0
5642.14 + 7012,12654.14
5950.31 + 2912.33,8862.64
8232.58 + 9839,18071.58
2070.22 + 3225,5295.22
5504 + 8346.64,13850.64
6932 + 9923.51,16855.51
8811.72 + 7369.66,16181.38
2268 + 5251.83,7519.83
7475.31 + 2058,9533.31
9138 + 3496.24,12634.24
6521.76 + 8080.82,14602.58
2989.68 + 6963.69,9953.37
6543.9 + 7467.05,14010.95
4816.35 + 2481,7297.35
4575 + 5503,10078.0
8150 + 578.05,8728.05
1107 + 5568.6,6675.6
4969 + 7596,12565.0
5472 + 4275,9747.0
3947 + 6894.38,10841.38
6854 + 9840.67,16694.67
9932 + 802.5,10734.5
1652 + 1596,3248.0
5498 + 2272,7770.0
