Question,Answer
411.29 * 1088,447483.52
1423.06 * 1935.91,2754916.08
991 * 885.16,877193.56
1863 * 1968.43,3667185.09
504.37 * 401.31,202408.72
240 * 1287,308880.0
1971.85 * 1285.8,2535404.73
65.71 * 1618.79,106370.69
1512.41 * 479,724444.39
266.48 * 1776.92,473513.64
1023.62 * 198.93,203628.73
1380.08 * 1866.87,2576429.95
1352.03 * 345.56,467207.49
1896.1 * 1791,3395915.1
660.25 * 1881,1241930.25
388.94 * 1013,393996.22
929 * 641,595489.0
1698.81 * 1581.85,2687262.6
1996.59 * 850.23,1697560.72
405.24 * 819.3,332013.13
1.95 * 1035.06,2018.37
1110.39 * 1784.71,1981724.14
993.5 * 252,250362.0
981 * 953.49,935373.69
160.05 * 541.27,86630.26
1560.73 * 1571.36,2452468.69
55.57 * 1068.79,59392.66
372 * 1197.97,445644.84
1389.25 * 1486.65,2065328.51
1356.39 * 1720.3,2333397.72
918.87 * 1694,1556565.78
1279.51 * 467.43,598081.36
150 * 208.92,31338.0
638 * 611.54,390162.52
59.31 * 485.49,28794.41
656 * 956.19,627260.64
1276.01 * 1798.39,2294763.62
206 * 1702.0,350612.0
1566.23 * 1464.16,2293211.32
1127.08 * 712,802480.96
1562 * 1.53,2389.86
676.08 * 130.9,88498.87
534.46 * 1303,696401.38
716.58 * 1242.62,890436.64
1359 * 1483.14,2015587.26
289 * 989.23,285887.47
1426.22 * 749.45,1068880.58
1884.31 * 309,582251.79
239 * 556.62,133032.18
1148.22 * 230.71,264905.84
547.24 * 1888,1033189.12
583.86 * 1919.13,1120503.24
425.91 * 189,80496.99
299.86 * 1226,367628.36
379.01 * 1609.33,609952.16
435 * 101,43935.0
541.87 * 1153,624776.11
669.09 * 1489,996275.01
1158.29 * 1485.8,1720987.28
1582.35 * 1148,1816537.8
1773.68 * 1034.89,1835563.7
1388.76 * 1711,2376168.36
798.41 * 1969,1572069.29
1226 * 1285.06,1575483.56
1683.74 * 1169.09,1968443.6
1920.27 * 814.97,1564962.44
1766.09 * 375,662283.75
1512.71 * 1291.19,1953196.02
1689.88 * 1418.92,2397804.53
708 * 1388,982704.0
63.86 * 241.41,15416.44
1995 * 836.0,1667820.0
1407.52 * 1790.06,2519545.25
1990 * 1785,3552150.0
678.48 * 1866.59,1266443.98
1692.93 * 911.41,1542953.33
476.96 * 1566,746919.36
779 * 211.41,164688.39
1678 * 852,1429656.0
908.08 * 1299.0,1179595.92
903.93 * 898,811729.14
125.36 * 1730,216872.8
1547 * 1111.91,1720124.77
428.22 * 200,85644.0
466.68 * 1449,676219.32
60 * 145.76,8745.6
1717.48 * 1487.22,2554270.61
1225.7 * 218.69,268048.33
1157.07 * 489.25,566096.5
1919.24 * 1115,2139952.6
860.52 * 1071.79,922296.73
194 * 54.91,10652.54
1474.75 * 1581.89,2332892.28
164.39 * 1036.08,170321.19
473.9 * 1646.86,780446.95
64.09 * 1861.85,119325.97
1150.98 * 695.57,800587.16
117 * 1416.98,165786.66
248.72 * 885.82,220321.15
1784.24 * 1325,2364118.0
183 * 534.95,97895.85
1898.79 * 1451.01,2755163.28
1216.0 * 1777.2,2161075.2
1459.06 * 269,392487.14
1670.94 * 1968.23,3288794.24
406.43 * 424,172326.32
34.32 * 413,14174.16
1077.39 * 579,623808.81
1512.54 * 1115,1686482.1
1538.05 * 673,1035107.65
488 * 1731.26,844854.88
488.89 * 1994.9,975286.66
