Question,Answer
3336 - 2129,1207.0
4524 - 7876,-3352.0
6640 - 7016,-376.0
3210 - 7785,-4575.0
7692.73 - 8272,-579.27
7033 - 9268.11,-2235.11
3249 - 2894.22,354.78
4834 - 3696.99,1137.01
1863.45 - 1782,81.45
2971.2 - 5314.07,-2342.87
8396 - 7459,937.0
7976.63 - 586.83,7389.8
6760.58 - 7673,-912.42
518.7 - 987.8,-469.1
7727.1 - 2700.5,5026.6
7167.44 - 3775,3392.44
4030.97 - 571.9,3459.07
6587 - 7,6580.0
5670.73 - 7854,-2183.27
1999.74 - 8184.87,-6185.13
2618.07 - 2097,521.07
1874 - 3189.39,-1315.39
3951.82 - 7516.97,-3565.15
7654.9 - 2530.36,5124.54
4778 - 3240,1538.0
7298 - 7317.84,-19.84
8255 - 3600,4655.0
6907 - 6608.86,298.14
2531.63 - 1091.51,1440.12
199.57 - 4670,-4470.43
321 - 2395,-2074.0
3231.5 - 9967,-6735.5
4631 - 4523.45,107.55
5605 - 570,5035.0
2232.43 - 311.83,1920.6
3073 - 7095.28,-4022.28
2948 - 7321.43,-4373.43
6369 - 7674.99,-1305.99
8561 - 6121,2440.0
5156 - 7170.26,-2014.26
6002 - 3607,2395.0
3481 - 6571,-3090.0
1872 - 3980.21,-2108.21
584.27 - 9542.62,-8958.35
2814.8 - 6431,-3616.2
2197 - 1031.31,1165.69
1066 - 2996.3,-1930.3
361 - 617.15,-256.15
9616 - 9330,286.0
6191 - 4064.36,2126.64
9492.35 - 7308,2184.35
4685 - 9769.76,-5084.76
3080 - 9838,-6758.0
3389 - 4885,-1496.0
2953.37 - 7088,-4134.63
7701 - 4114.65,3586.35
5180.13 - 9050.08,-3869.95
7142 - 831,6311.0
632.69 - 1064.7,-432.01
8545.31 - 8125,420.31
1648.33 - 1492.24,156.09
4710 - 8793.81,-4083.81
372 - 7560.16,-7188.16
9484.96 - 8567.26,917.7
9224.26 - 1780,7444.26
7011.85 - 6574,437.85
4063 - 2930,1133.0
3525 - 9006.48,-5481.48
5426 - 1838.96,3587.04
3508 - 1457,2051.0
6028.44 - 9851,-3822.56
6761 - 2341.23,4419.77
6882.72 - 5482.86,1399.86
6333.15 - 129.89,6203.26
8469 - 6267.0,2202.0
6709 - 5809,900.0
4619 - 6626.71,-2007.71
1091 - 4015.0,-2924.0
2610.82 - 2467.29,143.53
8735.34 - 3787,4948.34
787 - 3541,-2754.0
891.63 - 3562.01,-2670.38
9676 - 4302,5374.0
2758 - 2912.45,-154.45
9081.69 - 5567,3514.69
