Question,Answer
79.46 + 98 + 17 + 87.28,281.74
38.25 + 26,64.25
34.12 + 8.41 + 65.75 + 98,206.28
6 + 26,32.0
67 + 78,145.0
58.41 + 94.95 + 55 + 25.34,233.7
100 + 68.57 + 75 + 14,257.57
54.35 + 32 + 77.88,164.23
1 + 93 + 92.5 + 79.6,266.1
46 + 76.82 + 85.25,208.07
74.85 + 95.3 + 55.91 + 59.68,285.74
41.28 + 2 + 42 + 86.14,171.42
30 + 28,58.0
54.23 + 21 + 21,96.23
51.33 + 48 + 36,135.33
40 + 43.82 + 44 + 55.81,183.63
21.38 + 36.13 + 58 + 90.84,206.35
75 + 47.52 + 75,197.52
38 + 17.59 + 46,101.59
86.38 + 80.65 + 52 + 54.66,273.69
48.53 + 4.65 + 30 + 62,145.18
97.83 + 84.55 + 10,192.38
5 + 4.15 + 9 + 62,80.15
85 + 88.38 + 25 + 17,215.38
18.6 + 48.27,66.87
93 + 16 + 72 + 60.19,241.19
74 + 4,78.0
27.67 + 84.97,112.64
52.62 + 98.84 + 53.42,204.88
41 + 1 + 94 + 26.87,162.87
3 + 80.85,83.85
18.9 + 30 + 47.59 + 60.5,156.99
72 + 68 + 76,216.0
26.08 + 5,31.08
60.48 + 4.08 + 37 + 68,169.56
15 + 60 + 90.22 + 7.97,173.19
84 + 45 + 100,229.0
22 + 65 + 32.58 + 65,184.58
38 + 36.57 + 37.05 + 14,125.62
19 + 16.57 + 53.33,88.9
97 + 96 + 36.44 + 37,266.44
3.27 + 85 + 55,143.27
1.5 + 23 + 79.54,104.04
62 + 82.47,144.47
93 + 26 + 76,195.0
4 + 88.2,92.2
82.76 + 20 + 68.13,170.89
30 + 22 + 49,101.0
21.77 + 29 + 67.97,118.74
31.67 + 52 + 73.76,157.43
74 + 5.64,79.64
1.06 + 67.9,68.96
4.64 + 24 + 78 + 52.76,159.4
36.53 + 46.68 + 64.77,147.98
69 + 17.42,86.42
74.8 + 99.42 + 13.17 + 57.69,245.08
33 + 33,66.0
59 + 84.8 + 64.37,208.17
1.63 + 20.96 + 70,92.59
55 + 79.71 + 36,170.71
20.65 + 59.27 + 58.66,138.58
56 + 75.32 + 6.78 + 63.72,201.82
73 + 19 + 38.98,130.98
23 + 54 + 89.95,166.95
74.56 + 70.5 + 44 + 90,279.06
9 + 29.77,38.77
98 + 16 + 39.72,153.72
54 + 4 + 40,98.0
41 + 54 + 10.17,105.17
55 + 15.86 + 29.03,99.89
96 + 80.85 + 9 + 84,269.85
9.96 + 24.83 + 82.45,117.24
73 + 10.82 + 37.22 + 72.58,193.62
60.53 + 83 + 24 + 53,220.53
29 + 25.2,54.2
30.07 + 46.61 + 30.16 + 35,141.84
89.53 + 96,185.53
43 + 58.28,101.28
32.87 + 33,65.87
78.74 + 32.3 + 95,206.04
57.04 + 18 + 23.84,98.88
69.23 + 49,118.23
82.52 + 69.73 + 37.77,190.02
20 + 1,21.0
92.81 + 31.15,123.96
70.13 + 58 + 18.41,146.54
55.41 + 17.63 + 97,170.04
46.63 + 36 + 70 + 47,199.63
49.55 + 72.49 + 50.83 + 86.22,259.09
90 + 40,130.0
70 + 88.25 + 28 + 48,234.25
27 + 43,70.0
64 + 9 + 73.99 + 87.17,234.16
34.56 + 39 + 56,129.56
18.78 + 60 + 19,97.78
69.87 + 60.51,130.38
42 + 69 + 96 + 3,210.0
9 + 97 + 28.19,134.19
47.36 + 32.04 + 67 + 53.08,199.48
97.61 + 48 + 65.97 + 48.34,259.92
96.32 + 97.06 + 70 + 90,353.38
68 + 33.11 + 71.66,172.77
30.58 + 66,96.58
75.25 + 63.44 + 16.89,155.58
40.04 + 65 + 60.06,165.1
85 + 5 + 58,148.0
36 + 37 + 5.88,78.88
51.02 + 46 + 66.68,163.7
9.99 + 48.24 + 63.03,121.26
84.85 + 46.54,131.39
28.83 + 69.72,98.55
3 + 21 + 30,54.0
77 + 77.66 + 60.67 + 53.24,268.57
65 + 71,136.0
47 + 80.74 + 7,134.74
47 + 96 + 63.08,206.08
59.25 + 72.37,131.62
55.14 + 51 + 22 + 87.32,215.46
43.24 + 97 + 78.13,218.37
39.9 + 73 + 9.82,122.72
47 + 12.41 + 79 + 82,220.41
65 + 82,147.0
6 + 13 + 70.91 + 99,188.91
78 + 15.62,93.62
12 + 13 + 24.82 + 8,57.82
11 + 33.41 + 93.81 + 26,164.22
7.94 + 12.59 + 49.11 + 35,104.64
15.53 + 89.7 + 68.29 + 37.48,211.0
82 + 85.88 + 43.01,210.89
3 + 80,83.0
88.56 + 72.42 + 65.86 + 11.64,238.48
55 + 92,147.0
83 + 58.92 + 88.86,230.78
50.86 + 99.61 + 32,182.47
68 + 55 + 50,173.0
68 + 72 + 2 + 48,190.0
47.87 + 68.29 + 31.7 + 43.05,190.91
72.2 + 66.79 + 21,159.99
1 + 36.54 + 2.14 + 95.2,134.88
24 + 54.71,78.71
99.55 + 56 + 24.8,180.35
79.38 + 22 + 58 + 55.98,215.36
34.28 + 96.42 + 25.8,156.5
52 + 52.83,104.83
24 + 25.19 + 66 + 66,181.19
56 + 83.03 + 45 + 37.05,221.08
83 + 81.99,164.99
56.65 + 67 + 81,204.65
96 + 89 + 84.96,269.96
61 + 54.9 + 88.32 + 26,230.22
35 + 78 + 43.45 + 80,236.45
11.83 + 63.84,75.67
22 + 32.41 + 87.81 + 11.42,153.64
50 + 84,134.0
76.09 + 55.41 + 20,151.5
38.36 + 52.99 + 100,191.35
54.76 + 12 + 56.26,123.02
22.65 + 2 + 67.31 + 89,180.96
29 + 73.87,102.87
11 + 87 + 48.37,146.37
31 + 52 + 99.77 + 70,252.77
56 + 25,81.0
81.3 + 38 + 9.14 + 78.77,207.21
46.27 + 31 + 58.58 + 19,154.85
53.23 + 15,68.23
77.09 + 85.6,162.69
31 + 21 + 50 + 16.71,118.71
23 + 21.37 + 79 + 86.03,209.4
