Question,Answer
99 + 12 + 43 + 5.88,159.88
62 + 40.87,102.87
19.58 + 100 + 61 + 63.34 + 94 + 63.13 + 88.92,489.97
75.39 + 44.5 + 14.83,134.72
54 + 57 + 63 + 29 + 86,289.0
44.96 + 27 + 79 + 18,168.96
41 + 38.64,79.64
97 + 62.69 + 12.61 + 37.2,209.5
7.84 + 38 + 27.45 + 89.31 + 55.35,217.95
77 + 10 + 25.0,112.0
21.26 + 22 + 61.68,104.94
80 + 27.73 + 64.68 + 23.12,195.53
54 + 96.93 + 67.05 + 91.97 + 76,385.95
8 + 93.35 + 97.27 + 49 + 59 + 6 + 86,398.62
84.18 + 94 + 74.13,252.31
22 + 58 + 10.33 + 91,181.33
43.77 + 55.91 + 56 + 98 + 34,287.68
33.73 + 52 + 57.11 + 67.15 + 13 + 20 + 61.74,304.73
10 + 17.2 + 62,89.2
38 + 36 + 5.67 + 79 + 31.8,190.47
29.44 + 82.94 + 4 + 48 + 56.59 + 40,260.97
73.65 + 47,120.65
20 + 55.37 + 50,125.37
68.24 + 89.08 + 24 + 10 + 5.48 + 74 + 38,308.8
84.12 + 40.05 + 58 + 37 + 66.14,285.31
38 + 84.1 + 9 + 16.01 + 99 + 28,274.11
58 + 90 + 1.37 + 59 + 95.47 + 60.58 + 46,410.42
95.75 + 80,175.75
13.47 + 72.92 + 33.6 + 58.47,178.46
28.13 + 52 + 50.03,130.16
23 + 14.2,37.2
26.39 + 73 + 85.84 + 36.92 + 28.59 + 56.7 + 85.07,392.51
92.25 + 89 + 95 + 66,342.25
79 + 21 + 40,140.0
74 + 13.02 + 14,101.02
45.43 + 36.96 + 78 + 96.82,257.21
45.85 + 17 + 61.56 + 6,130.41
21.33 + 89.65 + 41 + 95,246.98
17.65 + 1.95 + 60.71 + 57,137.31
99.21 + 77.02 + 77 + 68.2,321.43
9.26 + 3.11 + 63.07 + 7 + 68 + 66.18 + 80,296.62
66.9 + 28 + 4.0 + 28.61,127.51
37 + 66,103.0
29 + 60 + 6 + 11 + 54.36 + 22 + 5.97,188.33
30.04 + 82.95 + 4.53 + 54 + 42 + 96.49,310.01
7 + 52 + 76 + 54.03,189.03
62 + 84,146.0
49.93 + 88 + 41 + 96.55 + 81.67 + 5 + 80.93,443.08
3 + 19,22.0
38 + 98 + 33.86 + 11 + 6.55 + 36 + 47,270.41
