Question,Answer
43 + 53 + 38 + 30 + 50.28 + 82.7,296.98
59.35 + 42.88 + 63.52 + 96.73 + 48,310.48
18 + 20 + 86.49 + 78.37,202.86
26.69 + 99.52 + 72 + 48 + 68 + 25,339.21
82 + 31 + 48 + 13 + 38.37 + 44.08 + 56.98,313.43
67.76 + 15.36 + 72 + 31 + 37.07 + 79.82,303.01
68.75 + 36.36 + 95.88,200.99
94.2 + 54,148.2
22.51 + 24.69 + 18.45 + 92 + 97.64,255.29
38 + 98.67 + 64 + 56 + 48 + 52.54 + 82,439.21
22 + 63 + 74 + 65.68 + 26.82 + 32,283.5
32 + 67.12 + 69.01 + 44.76,212.89
97 + 10.18,107.18
42.21 + 51.99 + 65 + 2.33 + 89.86 + 100 + 53.35,404.74
80.29 + 22.89 + 26.11 + 35 + 99.8 + 67 + 48,379.09
99.52 + 78 + 41.25 + 39 + 70.0 + 23,350.77
95.87 + 63.17,159.04
1 + 10.44 + 47.18 + 96.11 + 54 + 40 + 55,303.73
84 + 85 + 57 + 75.78 + 45,346.78
52 + 82.93 + 73.27 + 17 + 84.4,309.6
22 + 76 + 83,181.0
96.58 + 53.77 + 26,176.35
89 + 28,117.0
70.95 + 79 + 57 + 81.56 + 51 + 28,367.51
70 + 81.41 + 88.06,239.47
16.9 + 14.09 + 20,50.99
67.05 + 13.98 + 32 + 6,119.03
80.33 + 49.69 + 46,176.02
35.04 + 32.57 + 83.8 + 80.35 + 52.28,284.04
79 + 19.75 + 78.71 + 37 + 4 + 56 + 27.82,302.28
44 + 53.86 + 71.08 + 77.87 + 91 + 93.66 + 67,498.47
68 + 23 + 60,151.0
86.13 + 62 + 69 + 20.3,237.43
78.17 + 90 + 80.51 + 13 + 4 + 57 + 16.18,338.86
48.33 + 34.12 + 69.73 + 68.29 + 74 + 32 + 14.97,341.44
99.77 + 23.73,123.5
22.89 + 83.08,105.97
68.23 + 62.8 + 3 + 14.78 + 49 + 35,232.81
12 + 10.99,22.99
1 + 60.92 + 6.27 + 40 + 10 + 71.78,189.97
5 + 94.55 + 70.97,170.52
53.75 + 96.62 + 13 + 54 + 86,303.37
2.1 + 83,85.1
79.83 + 39 + 57.84,176.67
61.62 + 74.27,135.89
22 + 73.78 + 13 + 91.52 + 42 + 20.69 + 34,296.99
11.85 + 40.26 + 53 + 53.41 + 24 + 55.63,238.15
85.11 + 20 + 26,131.11
57.69 + 78 + 42.09 + 20 + 66 + 1,264.78
1.9 + 30,31.9
14 + 26.91 + 57.8 + 89 + 83,270.71
66 + 94 + 72.6,232.6
21 + 20 + 47 + 87 + 66 + 40.48,281.48
25.3 + 87 + 65.19,177.49
72 + 71 + 14.27 + 94.29 + 21 + 80.41,352.97
35.62 + 79.8 + 16 + 15.51,146.93
14 + 27 + 78,119.0
13.31 + 44 + 78.93 + 76.95 + 42 + 19,274.19
98.16 + 48.14,146.3
8 + 36.48,44.48
11.34 + 60 + 35,106.34
