Question,Answer
15 * 20 * 55.78 * 55,920370.0
68 * 4.22 * 67 * 86,1653463.52
12.19 * 88.26 * 28.01 * 32,964341.187
32 * 12.13 * 4 * 93.62,145358.1568
75 * 15.87 * 79 * 4,376119.0
78 * 56 * 100 * 48,20966400.0
56.76 * 56 * 10.24 * 43.75,1423994.88
51.37 * 14 * 9.89 * 19.86,141258.0274
7 * 16 * 52 * 31,180544.0
41 * 7.63 * 49.01 * 89,1364530.0487
22.54 * 9 * 39.4 * 46.15,368862.3666
81.8 * 23 * 54.56 * 81,8314583.904
72.3 * 90.45 * 67.74 * 25.14,11136720.8566
39 * 79 * 40 * 28,3450720.0
63 * 77 * 76.93 * 2.21,824744.2203
41 * 82 * 18 * 67.81,4103589.96
32.78 * 20.12 * 79 * 55.0,2865673.492
70 * 15 * 51 * 86,4605300.0
99 * 30 * 98.61 * 63.8,18685214.46
26.1 * 89 * 3 * 89.71,625162.077
43.47 * 19 * 91.51 * 42.43,3206895.6479
96 * 95.87 * 50.37 * 88,40795154.6112
3 * 91.13 * 89 * 42,1021931.82
63 * 19 * 65.31 * 85,6644965.95
49.94 * 89.0 * 81 * 17,6120296.82
68 * 73.29 * 58 * 22,6359226.72
36.47 * 10 * 71 * 74,1916133.8
41.99 * 2.27 * 34 * 56.91,184433.2565
40 * 18 * 92.48 * 79,5260262.4
89.41 * 40 * 37 * 46,6087032.8
11.0 * 61 * 91.48 * 22,1350427.76
57.67 * 98 * 87 * 53,26059804.26
43.78 * 87 * 32 * 12,1462602.24
73.8 * 73 * 64 * 85,29307456.0
75 * 93 * 25.67 * 12.1,2166483.825
16.8 * 61.63 * 68 * 32.27,2272005.2342
74 * 28.87 * 40.55 * 13.54,1172973.0299
35 * 8 * 18.15 * 11.65,59205.3
56.94 * 65 * 80.01 * 40.91,12114474.2
91 * 96.05 * 74.49 * 59,38413930.6005
15.27 * 75.91 * 23.2 * 100,2689218.024
41 * 70 * 60 * 67.9,11692380.0
19 * 96.81 * 77 * 15,2124495.45
1 * 98.6 * 40.5 * 34.84,139126.572
24.16 * 93 * 27.47 * 9.55,589443.1289
43 * 75 * 49 * 90,14222250.0
51 * 24 * 32 * 53,2075904.0
