Question,Answer
((((62 * 2) + 60) - 34) / 96),1.5625
(((((26 - 57) * 68) * 80) * 97) / 78),-209718.9744
((((30 * 59) - 58) / 75) / 44),0.5188
(((71 / 15) + 56) - 46),14.7333
(((73 * 68) + 15) + 39),5018.0
(((((69 / 100) - 59) / 44) + 30) * 21),602.1702
(((91 + 39) + 54) / 30),6.1333
(((((20 - 76) * 35) / 90) - 71) - 51),-143.7778
(((26 * 94) / 63) * 31),1202.6032
(((54 / 41) + 33) / 50),0.6863
(((42 + 63) / 56) * 31),58.125
(((((16 + 14) + 49) + 53) / 75) / 100),0.0176
(((80 - 57) * 100) * 70),161000.0
(((((89 - 81) * 50) - 45) - 9) - 99),247.0
((((21 + 99) * 33) - 26) - 33),3901.0
(((((77 / 6) / 48) * 17) * 34) / 46),3.3595
(((((68 * 62) * 47) + 48) + 54) * 4),793016.0
(((((81 + 55) / 44) - 83) / 26) + 86),82.9266
((((28 + 39) - 25) - 77) * 80),-2800.0
((((84 + 29) / 43) * 26) + 80),148.3256
(((((40 + 11) + 78) - 19) - 97) - 74),-61.0
((((90 / 55) - 12) / 45) * 26),-5.9879
(((28 - 86) + 73) - 96),-81.0
(((((46 / 30) - 77) + 30) / 2) - 11),-33.7333
((((40 + 65) + 2) - 93) + 84),98.0
(((((17 / 35) / 4) - 46) * 6) / 55),-5.0049
(((((9 - 29) + 72) / 49) / 96) / 60),0.0002
(((((14 + 36) * 21) - 18) - 70) * 18),17316.0
(((53 + 10) * 70) + 28),4438.0
((((27 - 14) * 4) + 25) + 8),85.0
((((2 / 13) * 69) / 7) * 35),53.0769
(((47 + 30) + 3) + 47),127.0
((((47 / 73) * 39) - 21) * 8),32.8767
(((73 * 91) / 7) / 47),20.1915
(((9 + 6) / 92) + 96),96.163
(((45 / 25) * 90) / 49),3.3061
(((((35 - 87) - 14) / 11) * 18) - 55),-163.0
(((((78 / 2) + 12) * 17) / 77) * 76),855.7403
((((95 * 83) - 39) + 88) * 89),706126.0
(((48 / 31) + 2) * 80),283.871
(((((6 * 18) - 12) - 44) + 15) - 31),36.0
((((26 * 18) - 86) / 68) - 44),-38.3824
(((71 / 21) * 7) * 75),1775.0
((((81 / 76) - 13) * 94) * 79),-88623.4474
(((71 / 65) * 8) + 69),77.7385
(((((12 / 26) / 12) - 4) * 64) - 41),-294.5385
(((80 - 21) / 4) + 52),66.75
((((94 - 34) / 20) / 2) - 46),-44.5
(((((72 * 27) / 85) + 21) + 1) * 32),1435.8588
(((((82 + 53) / 37) + 54) * 94) + 51),5469.973
(((26 / 29) * 61) + 31),85.6897
(((39 - 25) + 58) * 39),2808.0
(((((39 / 58) + 16) * 58) / 97) + 47),56.9691
(((98 * 82) * 96) / 48),16072.0
((((41 / 58) * 44) / 13) - 44),-41.6074
((((81 - 7) + 91) * 7) / 11),105.0
((((51 - 41) / 19) - 66) - 5),-70.4737
((((34 + 1) + 61) / 51) / 54),0.0349
(((57 - 18) * 83) + 57),3294.0
(((75 + 27) / 42) * 62),150.5714
(((((96 * 57) * 89) / 2) - 96) - 84),243324.0
(((7 * 51) - 42) + 70),385.0
((((20 * 46) * 15) * 51) + 9),703809.0
(((22 + 58) / 14) * 39),222.8571
