Question,Answer
62 - 60,2.0
17.26 - 20,-2.74
55 - 49.16,5.84
78.45 - 49.77,28.68
98 - 79,19.0
64 - 39.23,24.77
48.24 - 3.28,44.96
46.12 - 71,-24.88
82 - 80,2.0
37 - 45,-8.0
43.11 - 67,-23.89
9 - 68.66,-59.66
77 - 10,67.0
89 - 47,42.0
99.44 - 26.43,73.01
24.84 - 37,-12.16
7.54 - 88,-80.46
14.89 - 45,-30.11
95.43 - 42.59,52.84
39.46 - 93,-53.54
73 - 34.93,38.07
95 - 83,12.0
78.19 - 35.77,42.42
31.55 - 27.3,4.25
97.27 - 24,73.27
56 - 99.1,-43.1
12 - 83.32,-71.32
38 - 37,1.0
6.31 - 76.25,-69.94
55.55 - 10.75,44.8
54.92 - 40.74,14.18
32 - 26.18,5.82
12 - 20,-8.0
97 - 58,39.0
61.84 - 95.37,-33.53
16.57 - 70,-53.43
51.21 - 92,-40.79
51 - 36,15.0
77.51 - 71.11,6.4
54.29 - 30,24.29
18 - 63.98,-45.98
42 - 77,-35.0
20 - 2,18.0
95 - 33,62.0
33.38 - 20.75,12.63
32.0 - 69,-37.0
27.31 - 66.94,-39.63
59 - 14,45.0
10 - 86.52,-76.52
58.91 - 24.67,34.24
79 - 40.34,38.66
19.32 - 64.96,-45.64
88 - 9,79.0
24.93 - 12,12.93
97 - 4.18,92.82
55.49 - 16.66,38.83
27.17 - 62,-34.83
82.22 - 7.87,74.35
19.68 - 14.53,5.15
87.72 - 83.54,4.18
35.13 - 72.37,-37.24
49.68 - 5.65,44.03
46.87 - 19.9,26.97
93.32 - 97.66,-4.34
26 - 32.18,-6.18
15 - 56,-41.0
17.14 - 77.35,-60.21
41.56 - 77,-35.44
7 - 19.93,-12.93
5 - 14.34,-9.34
74.0 - 25,49.0
85.51 - 20.16,65.35
50 - 10,40.0
3 - 39.32,-36.32
94 - 51,43.0
30.62 - 33.2,-2.58
29 - 24,5.0
52 - 41.57,10.43
96.09 - 34,62.09
21.86 - 26,-4.14
43 - 91,-48.0
24 - 5,19.0
85 - 25,60.0
98 - 5,93.0
9 - 19.62,-10.62
72 - 65.54,6.46
89.23 - 42,47.23
60.87 - 93,-32.13
90 - 96,-6.0
71 - 17.15,53.85
52 - 68,-16.0
72 - 97.72,-25.72
39.52 - 14.78,24.74
44.59 - 84,-39.41
70.55 - 31,39.55
70 - 8.46,61.54
39 - 6,33.0
9.1 - 54.93,-45.83
14 - 71.75,-57.75
92.68 - 81,11.68
1 - 58.32,-57.32
34 - 4.02,29.98
39.2 - 62,-22.8
73.58 - 73,0.58
22 - 61.37,-39.37
83 - 88.5,-5.5
42.91 - 22.56,20.35
12 - 15.32,-3.32
40.25 - 60,-19.75
5 - 6,-1.0
41 - 25,16.0
14 - 70,-56.0
13 - 21.32,-8.32
72 - 39.04,32.96
67 - 44,23.0
41 - 69,-28.0
49 - 19,30.0
26.71 - 61,-34.29
88 - 69.44,18.56
99.95 - 49,50.95
93 - 86,7.0
10 - 4,6.0
90.05 - 68.71,21.34
62.92 - 27.76,35.16
79 - 37.02,41.98
2 - 23,-21.0
75.87 - 51,24.87
90.4 - 44.9,45.5
19 - 6.14,12.86
98.95 - 89.01,9.94
55.72 - 15.72,40.0
23.74 - 52,-28.26
14 - 47,-33.0
7 - 28,-21.0
75 - 71,4.0
32.8 - 71,-38.2
21.43 - 77,-55.57
61.13 - 93,-31.87
84 - 84.38,-0.38
95.02 - 12.48,82.54
100 - 39.99,60.01
70 - 89,-19.0
24.37 - 3,21.37
54.12 - 35,19.12
46 - 98,-52.0
78 - 58,20.0
41.79 - 46.52,-4.73
61.07 - 64.98,-3.91
96 - 72.53,23.47
59 - 86,-27.0
60 - 40.24,19.76
26 - 98,-72.0
55.1 - 93.98,-38.88
85 - 12.46,72.54
59 - 73,-14.0
45.77 - 36,9.77
95.5 - 30,65.5
24.99 - 100,-75.01
57.97 - 77.33,-19.36
42 - 36,6.0
72.33 - 85,-12.67
63 - 77,-14.0
40 - 83.81,-43.81
10 - 25,-15.0
62 - 1.11,60.89
17 - 2.43,14.57
69 - 73,-4.0
94 - 41.4,52.6
89 - 21.54,67.46
25 - 100,-75.0
29 - 28.75,0.25
88 - 56.96,31.04
54 - 58,-4.0
95.76 - 65,30.76
2.09 - 37,-34.91
94 - 50.0,44.0
39.73 - 12.72,27.01
72 - 75.09,-3.09
43.53 - 38,5.53
16 - 82.05,-66.05
89.91 - 71.45,18.46
9.31 - 98.12,-88.81
85.6 - 99.12,-13.52
76 - 34,42.0
95.68 - 4.73,90.95
56.62 - 63,-6.38
48 - 23.59,24.41
54.21 - 52,2.21
43.59 - 31.53,12.06
53 - 28,25.0
59 - 2,57.0
58.83 - 44.91,13.92
12.83 - 67,-54.17
74.01 - 66,8.01
18 - 39.77,-21.77
74 - 10.13,63.87
48.7 - 64,-15.3
99 - 27.79,71.21
47.36 - 15,32.36
79.06 - 60.96,18.1
83 - 80,3.0
44 - 27.43,16.57
51 - 28,23.0
88 - 91.19,-3.19
23 - 9,14.0
35.63 - 73.83,-38.2
97.38 - 2,95.38
72.96 - 64.15,8.81
8 - 82,-74.0
43.31 - 55,-11.69
35 - 81.59,-46.59
99.36 - 95.87,3.49
1.69 - 62,-60.31
70 - 47.35,22.65
100 - 17,83.0
52 - 58.76,-6.76
17.83 - 68.63,-50.8
23.25 - 17.5,5.75
96.45 - 67.28,29.17
11 - 43,-32.0
5 - 30.02,-25.02
25.24 - 86.1,-60.86
28.48 - 100,-71.52
1.01 - 81.08,-80.07
5 - 28.26,-23.26
84.74 - 84.36,0.38
21 - 54.03,-33.03
69.11 - 44,25.11
15 - 8.65,6.35
90.52 - 52.72,37.8
5.09 - 70,-64.91
2 - 54.16,-52.16
10.92 - 86,-75.08
33.94 - 94.12,-60.18
11 - 56,-45.0
96.91 - 59.43,37.48
10.81 - 2.93,7.88
7.9 - 95.16,-87.26
84 - 69,15.0
99.27 - 98.6,0.67
8 - 19,-11.0
73 - 3,70.0
83.95 - 81.19,2.76
48 - 22.97,25.03
79 - 51,28.0
60 - 82,-22.0
24 - 68.18,-44.18
50 - 10.73,39.27
62.12 - 73,-10.88
83 - 2,81.0
86.65 - 53,33.65
35.22 - 74.65,-39.43
25 - 8.47,16.53
63.76 - 64.17,-0.41
67.9 - 88,-20.1
48 - 46,2.0
52 - 18.09,33.91
85.02 - 13,72.02
66.43 - 83,-16.57
31 - 64.02,-33.02
25 - 6.16,18.84
27.04 - 53.71,-26.67
52 - 87,-35.0
91.56 - 17.47,74.09
45.62 - 29.53,16.09
56 - 11,45.0
72.03 - 27,45.03
85.14 - 16,69.14
59 - 44,15.0
20 - 84,-64.0
75 - 65.95,9.05
59 - 31,28.0
93 - 31.95,61.05
2.49 - 36.88,-34.39
70.69 - 44,26.69
22 - 6,16.0
72.33 - 30.36,41.97
19.15 - 76.04,-56.89
79.05 - 36,43.05
2 - 33,-31.0
9.06 - 41,-31.94
70 - 79,-9.0
10 - 38.71,-28.71
43.7 - 20.94,22.76
17.51 - 42,-24.49
40.0 - 62,-22.0
1 - 96,-95.0
96.29 - 27.86,68.43
39.19 - 92,-52.81
52 - 7,45.0
41.24 - 4.44,36.8
90 - 32.98,57.02
31.43 - 7.9,23.53
28 - 72.57,-44.57
36.4 - 51,-14.6
4 - 2,2.0
4.1 - 41,-36.9
82 - 14.35,67.65
79 - 15.19,63.81
93 - 53.82,39.18
65.96 - 80.53,-14.57
66 - 58.66,7.34
2 - 6,-4.0
25 - 79,-54.0
50.11 - 4,46.11
63.61 - 54,9.61
43.48 - 16.4,27.08
36 - 13,23.0
66.69 - 85.99,-19.3
64 - 9,55.0
81.54 - 96.19,-14.65
72 - 15.47,56.53
50 - 88,-38.0
81 - 94.52,-13.52
60.97 - 36,24.97
15 - 90.8,-75.8
13 - 22,-9.0
73 - 70,3.0
85.85 - 90.37,-4.52
60 - 34.3,25.7
10 - 86.77,-76.77
39.05 - 96.87,-57.82
95 - 12,83.0
7.34 - 38,-30.66
72.48 - 47.77,24.71
98.75 - 52.77,45.98
59 - 98.49,-39.49
46 - 99,-53.0
1.2 - 74.97,-73.77
97 - 98.48,-1.48
88 - 19,69.0
59.35 - 99,-39.65
93 - 20,73.0
95.22 - 39.23,55.99
63 - 56,7.0
22 - 82,-60.0
9 - 42.15,-33.15
69.43 - 55.99,13.44
30 - 21,9.0
95 - 86,9.0
49 - 22.15,26.85
58.33 - 82.19,-23.86
98.55 - 78.56,19.99
30.01 - 30.81,-0.8
44 - 19.47,24.53
4 - 25,-21.0
81.64 - 73.04,8.6
89 - 66,23.0
31 - 67,-36.0
12 - 5.8,6.2
72 - 14,58.0
61.1 - 82.41,-21.31
51.36 - 12.24,39.12
4 - 32,-28.0
90.11 - 80.96,9.15
18.98 - 98,-79.02
65.49 - 7.55,57.94
23 - 81,-58.0
77.4 - 15.16,62.24
95 - 34,61.0
28 - 32,-4.0
93.63 - 23.56,70.07
61.25 - 95.91,-34.66
68.26 - 66,2.26
14.74 - 82,-67.26
33.82 - 1.92,31.9
13.16 - 94.83,-81.67
88 - 99.75,-11.75
7.54 - 34,-26.46
5 - 20,-15.0
3.65 - 24,-20.35
92.69 - 48.19,44.5
78 - 87.77,-9.77
5.45 - 94,-88.55
2.48 - 65.18,-62.7
63 - 82,-19.0
2.42 - 32,-29.58
53.17 - 83,-29.83
93 - 40.62,52.38
83.89 - 31.04,52.85
13.41 - 29,-15.59
64.07 - 65,-0.93
97 - 22.84,74.16
98 - 9.98,88.02
52 - 56,-4.0
48.85 - 11,37.85
54 - 65,-11.0
93 - 69,24.0
70 - 41,29.0
65.45 - 63,2.45
73.52 - 67,6.52
18 - 5,13.0
60 - 86.03,-26.03
84.41 - 100,-15.59
27 - 10.07,16.93
11 - 52.67,-41.67
26 - 80,-54.0
92 - 86,6.0
47.54 - 60.62,-13.08
2 - 85,-83.0
76 - 74.56,1.44
72 - 40,32.0
55 - 45.75,9.25
79 - 81.57,-2.57
58 - 36.27,21.73
55 - 43,12.0
43.86 - 1,42.86
72.62 - 81,-8.38
41 - 15,26.0
19 - 68,-49.0
73 - 34,39.0
58 - 94,-36.0
63.73 - 84.21,-20.48
50 - 7,43.0
76.88 - 45,31.88
91.48 - 63.78,27.7
43 - 4,39.0
68 - 7,61.0
15.04 - 96,-80.96
42 - 82.05,-40.05
19.87 - 76.21,-56.34
94.31 - 95.03,-0.72
26.0 - 32.89,-6.89
47.14 - 74,-26.86
13 - 27,-14.0
29.79 - 1.82,27.97
1 - 3.56,-2.56
40 - 48.81,-8.81
45.74 - 37,8.74
10 - 60,-50.0
18.6 - 66.81,-48.21
87.66 - 96,-8.34
91.1 - 85,6.1
8.13 - 50,-41.87
14 - 58,-44.0
74 - 81.48,-7.48
78.01 - 68.0,10.01
80.73 - 13.82,66.91
9 - 84,-75.0
50.51 - 27,23.51
12 - 17,-5.0
93 - 55,38.0
45 - 9.71,35.29
70 - 93.4,-23.4
54 - 60.06,-6.06
94.23 - 82.24,11.99
36.42 - 85,-48.58
14.44 - 37.53,-23.09
48.59 - 44.0,4.59
18 - 31.12,-13.12
24.33 - 38,-13.67
61 - 13.1,47.9
6.56 - 31.06,-24.5
85.53 - 6,79.53
48.45 - 18.51,29.94
38 - 64.91,-26.91
13.22 - 69.09,-55.87
94 - 40.51,53.49
32.55 - 42,-9.45
43.07 - 81.02,-37.95
28 - 95,-67.0
43 - 60,-17.0
8 - 7,1.0
71.84 - 42,29.84
53 - 32.8,20.2
19.35 - 91.9,-72.55
98 - 71.56,26.44
41 - 10,31.0
59.33 - 74,-14.67
73.94 - 4.86,69.08
29 - 78.0,-49.0
69.47 - 53,16.47
29.07 - 92,-62.93
89.84 - 1.82,88.02
62 - 99,-37.0
78 - 76,2.0
65 - 92,-27.0
2 - 96,-94.0
84 - 79,5.0
68.44 - 13.58,54.86
1 - 58,-57.0
97.61 - 68.72,28.89
12.15 - 56,-43.85
83.79 - 70,13.79
81.72 - 12,69.72
56 - 33,23.0
60 - 67.2,-7.2
18.79 - 38,-19.21
54.9 - 66.12,-11.22
84.96 - 20.43,64.53
11 - 63,-52.0
70.14 - 95,-24.86
30.32 - 13.22,17.1
47 - 94.26,-47.26
84.69 - 12.31,72.38
