Question,Answer
99 + 27 + 12 + 47 + 74.35 + 23,282.35
84.86 + 25.55 + 62 + 36.84 + 6.81 + 29.45,245.51
71.45 + 81.04 + 31 + 59.96 + 24 + 39.71,307.16
14.06 + 43.4 + 11.92 + 26.6 + 36.72 + 58.88,191.58
33.97 + 24.71 + 26.43 + 38 + 14 + 30.89,168.0
21 + 22 + 42 + 41 + 34 + 79,239.0
43 + 53 + 98.76 + 92 + 26 + 48.41,361.17
61 + 8 + 77.38 + 43 + 33.87 + 19,242.25
76 + 82 + 83.58 + 85 + 5.38 + 22,353.96
1 + 30.18 + 32.67 + 40.16 + 45 + 42,191.01
17.77 + 9.67 + 71 + 52 + 74 + 73.42,297.86
8 + 79.83 + 91 + 19.2 + 45.46 + 94.66,338.15
8 + 59.64 + 6 + 47 + 79 + 26.73,226.37
68.2 + 45 + 30 + 15 + 12.7 + 90.08,260.98
20 + 29.62 + 28.99 + 41 + 7 + 42.3,168.91
68.59 + 61 + 14.3 + 97.22 + 98.79 + 1.32,341.22
87.49 + 87 + 53.47 + 63 + 63 + 46.21,400.17
66 + 16.53 + 41 + 91 + 1 + 97,312.53
74 + 88.06 + 18.09 + 81.74 + 88.0 + 45.19,395.08
99.91 + 8.33 + 93 + 32 + 34 + 25,292.24
57 + 64 + 85.68 + 86.54 + 83.46 + 35,411.68
99.27 + 92 + 56 + 21 + 49.67 + 3.36,321.3
57.1 + 73.93 + 82 + 9 + 15 + 90.71,327.74
100 + 100 + 76.52 + 54 + 55.06 + 51,436.58
79.42 + 27.76 + 82 + 68 + 89.49 + 4.73,351.4
70 + 55 + 60 + 66 + 30 + 54,335.0
53.97 + 96 + 33.53 + 58.06 + 4 + 45.67,291.23
30.67 + 21.53 + 37.13 + 72.59 + 81 + 56,298.92
8 + 82.45 + 61.61 + 64 + 11 + 61,288.06
12.48 + 79 + 16 + 82 + 96 + 8.86,294.34
10 + 46 + 75 + 17.05 + 49 + 84.81,281.86
69 + 11 + 77.99 + 75.67 + 56 + 20,309.66
59.51 + 18.5 + 49.33 + 47 + 13.37 + 93,280.71
99.18 + 97.21 + 44.86 + 22.23 + 21 + 43,327.48
49 + 6.8 + 76.69 + 52.46 + 46 + 91.97,322.92
59.9 + 56.93 + 17.5 + 7.3 + 71.39 + 21.19,234.21
44.65 + 17.45 + 78.83 + 31 + 50.1 + 10,232.03
85.87 + 76.63 + 52 + 94 + 56 + 91.63,456.13
95.93 + 69 + 88 + 69 + 52 + 50,423.93
78 + 54.82 + 15.33 + 72.66 + 5.76 + 87.16,313.73
89.76 + 32.17 + 33 + 17.84 + 36.32 + 91.54,300.63
21 + 20 + 2 + 67.61 + 14 + 13.92,138.53
25.4 + 51.01 + 24.99 + 87.91 + 75 + 64.36,328.67
60 + 6 + 90 + 69 + 45 + 46.38,316.38
80 + 17.47 + 7.29 + 59 + 1 + 91.5,256.26
84.75 + 58.07 + 62.83 + 35.25 + 33.24 + 57,331.14
40 + 89.75 + 77.73 + 83 + 39 + 96,425.48
7.31 + 44 + 27 + 60 + 6.3 + 1.25,145.86
54 + 48.86 + 59.17 + 73 + 78 + 50,363.03
9.8 + 98 + 15 + 83.97 + 70 + 84.56,361.33
61.03 + 28 + 32.88 + 7 + 17.95 + 25,171.86
8.72 + 68.24 + 41 + 76.48 + 8 + 92,294.44
35 + 87.24 + 3.63 + 44.55 + 55.11 + 52,277.53
68 + 63 + 99.36 + 94.73 + 19.53 + 24.5,369.12
66.22 + 75.33 + 19.16 + 42.27 + 3 + 43.77,249.75
94.89 + 1 + 6 + 86.76 + 71 + 58.07,317.72
100 + 88.47 + 57 + 81.98 + 36.04 + 8.26,371.75
53.35 + 84.99 + 26.2 + 37 + 62 + 94,357.54
56 + 63 + 56.52 + 27 + 83.18 + 59,344.7
76.87 + 36 + 87 + 53 + 60.17 + 80,393.04
85.72 + 30.24 + 66 + 83.87 + 83 + 23.3,372.13
75.32 + 29.8 + 86.08 + 17 + 36.3 + 69.8,314.3
19.48 + 68.12 + 54.76 + 94 + 96 + 27,359.36
51.41 + 77.31 + 72 + 17 + 58.14 + 92,367.86
43 + 55 + 42.36 + 37.76 + 32.21 + 87,297.33
68.85 + 84 + 97 + 61.06 + 53 + 70.18,434.09
29 + 64 + 66.91 + 36.96 + 4 + 97.86,298.73
82 + 7.01 + 48 + 5 + 82 + 72.76,296.77
99 + 76.14 + 41.26 + 33 + 34 + 71.66,355.06
55 + 56.61 + 97 + 42.21 + 1.73 + 64.23,316.78
47.74 + 74.89 + 73 + 33.77 + 40.93 + 99,369.33
4 + 15 + 81 + 55.22 + 37.66 + 16.03,208.91
9 + 32 + 86.47 + 25.53 + 10.11 + 90,253.11
25 + 94 + 82 + 70 + 57 + 3.31,331.31
48 + 57 + 37.68 + 87.62 + 23 + 61.85,315.15
89 + 80 + 99.29 + 67.2 + 27.26 + 85,447.75
69.97 + 34.21 + 5 + 54.53 + 53 + 84,300.71
68.76 + 56 + 52.09 + 78.98 + 27 + 24,306.83
91.88 + 24.72 + 87 + 87.09 + 4 + 43.41,338.1
88.64 + 23.62 + 33 + 95 + 8 + 58.9,307.16
45.53 + 26.04 + 94.49 + 33 + 76 + 68.58,343.64
2.12 + 92 + 76 + 63.22 + 76.63 + 13.64,323.61
14.54 + 69.64 + 18.53 + 30.95 + 17.86 + 21.19,172.71
45 + 51 + 29 + 95 + 81 + 69.21,370.21
74 + 45.69 + 18.52 + 16.38 + 18 + 94,266.59
81 + 71.68 + 98.52 + 60.26 + 1 + 64,376.46
48 + 17 + 19 + 24.4 + 92.73 + 3.38,204.51
26.72 + 26 + 90.51 + 53 + 18.05 + 46.67,260.95
1.86 + 27.93 + 31.7 + 33 + 23.3 + 91.7,209.49
4.9 + 34 + 6 + 57.34 + 5.68 + 78,185.92
59.12 + 29.43 + 36 + 11.54 + 98.54 + 55.37,290.0
74.43 + 42.91 + 78 + 24 + 4 + 73,296.34
31 + 98 + 16 + 2 + 99.36 + 5,251.36
79.62 + 59 + 17.62 + 12.91 + 87 + 92,348.15
64 + 56.02 + 95 + 9 + 82.22 + 97.89,404.13
24 + 4.23 + 26.16 + 20.59 + 6.02 + 6,87.0
82 + 12 + 76 + 81 + 89 + 56.84,396.84
63.58 + 63.71 + 3 + 9.65 + 62 + 14.78,216.72
78 + 25 + 98.17 + 21.17 + 81 + 60.53,363.87
15.7 + 22 + 30 + 10.86 + 45 + 59,182.56
16 + 96.05 + 75.65 + 43.94 + 72.39 + 20.7,324.73
32.6 + 97 + 61 + 25.62 + 32.93 + 74.14,323.29
100 + 5 + 56 + 71 + 73.09 + 86.45,391.54
