Question,Answer
97.52 + 89 + 47.23 + 96.38 + 78.69 + 22.43,431.25
38.29 + 96.32 + 87 + 47,268.61
14 + 89 + 62.08 + 79.28,244.36
41.16 + 74.36 + 10 + 8 + 64.34 + 66 + 58.41,322.27
99 + 75.14 + 91 + 11.74,276.88
30 + 38.3 + 86.22 + 7 + 77.98,239.5
27.05 + 68 + 99.62 + 16.28 + 45.97 + 56 + 93.57,406.49
72 + 69 + 43.84 + 61.24 + 4.86 + 38,288.94
77.11 + 23 + 79.65 + 15,194.76
76 + 61 + 49.24,186.24
20 + 23 + 82.34 + 55 + 20.43 + 77.94 + 91,369.71
17 + 14.07 + 45 + 66 + 56.52 + 35.13 + 81,314.72
9.46 + 70 + 23 + 34,136.46
63 + 39.28 + 46,148.28
81.35 + 67 + 85 + 84.85 + 27 + 45.87,391.07
50.22 + 73 + 58.17,181.39
16.9 + 91 + 86 + 67.3 + 71 + 29.41,361.61
61.08 + 11.46 + 90.7,163.24
28 + 79 + 97.17 + 77.53 + 9.99,291.69
70 + 65 + 67 + 51 + 90.73,343.73
67 + 88.36 + 77 + 2 + 84.72 + 98 + 75.29,492.37
56.93 + 42.48 + 56 + 84.24 + 63 + 26.94 + 23.04,352.63
41.83 + 35 + 98.68 + 87 + 11.6 + 34.89 + 22.36,331.36
61 + 27.49 + 17.85 + 13.64 + 78,197.98
91 + 19 + 80.35 + 97 + 71.71 + 45.07,404.13
5.94 + 57 + 46.95 + 67 + 44 + 21.66,242.55
98 + 21 + 90 + 72.33 + 83 + 34.66,398.99
61 + 57 + 41.43,159.43
44.52 + 17 + 63.21 + 55 + 9.77,189.5
44.91 + 33.71 + 34.86 + 10 + 41 + 72.28 + 5.56,242.32
80.39 + 57 + 61.06,198.45
13 + 58.0 + 90.2 + 33,194.2
73 + 65 + 84 + 97 + 93,412.0
90.92 + 55 + 4.15 + 70 + 15.92 + 28 + 17.74,281.73
91.73 + 37.3 + 21 + 31.06 + 92,273.09
91.43 + 3.15 + 62 + 75.39 + 19 + 90.82,341.79
47 + 50.27 + 26,123.27
62 + 59.9 + 34 + 53.87,209.77
97.86 + 85.66 + 22 + 61,266.52
38.52 + 24.19 + 67.04 + 16.46,146.21
7 + 39.44 + 48.71 + 26 + 98.8 + 44 + 28,291.95
7 + 64.8 + 93.0,164.8
65 + 2.41 + 15 + 79 + 22 + 39.38 + 81.3,304.09
40.78 + 47.75 + 97.92 + 60.69 + 99.58 + 54,400.72
26.04 + 99.59 + 10 + 97 + 66 + 48.56,347.19
39 + 60 + 16.13 + 36.94,152.07
89 + 87.45 + 58.04 + 24 + 23 + 85.26,366.75
73 + 12 + 9 + 44.83 + 22 + 26.91 + 47,234.74
68.73 + 91 + 59 + 56 + 73 + 26 + 43,416.73
9.92 + 17 + 90 + 26.04 + 99 + 46 + 84.14,372.1
80 + 37 + 20 + 13.27,150.27
48 + 68.37 + 3.06 + 9.03,128.46
59.12 + 77 + 64.46 + 57.42,258.0
8.33 + 60.37 + 94,162.7
100 + 13 + 61.49,174.49
70.28 + 97.52 + 89.79 + 89,346.59
69.9 + 79 + 78 + 15.85 + 32.08 + 60,334.83
8.51 + 40.35 + 11.45,60.31
57.18 + 6 + 81.2 + 84 + 62.94 + 20.03,311.35
10 + 59 + 87,156.0
77 + 87 + 99 + 71 + 57.13 + 62.31,453.44
70.52 + 44 + 97 + 9 + 83 + 37 + 24.61,365.13
95.73 + 83.35 + 30.88 + 76 + 8 + 97.05 + 28,419.01
22.34 + 83.17 + 54.32 + 90.8 + 71.38 + 69,391.01
1 + 41.15 + 98 + 55.04 + 15.71 + 4.75 + 73,288.65
49 + 21.87 + 4.15 + 94 + 32,201.02
48.55 + 96.71 + 61,206.26
17.75 + 75 + 42.87 + 77.43 + 97.82,310.87
58.54 + 71.08 + 45.69 + 9.18 + 34,218.49
81.27 + 12.51 + 35 + 8,136.78
64.45 + 50 + 25.41 + 29 + 34.59 + 17.73,221.18
63.4 + 42 + 60 + 43.76 + 7.28 + 4,220.44
4.38 + 7 + 98.75 + 91 + 46 + 31.89,279.02
71.66 + 40 + 37 + 91 + 29.68,269.34
76.05 + 42.44 + 39.37 + 31,188.86
12.0 + 34 + 64,110.0
31.75 + 38 + 83 + 3 + 37.94 + 71 + 54,318.69
5.83 + 18 + 75.75 + 9 + 47.0 + 34.66 + 14,204.24
92.64 + 93 + 57 + 68,310.64
42 + 80.7 + 29.26,151.96
80.25 + 71.48 + 64.81 + 63,279.54
62.62 + 54.12 + 44 + 10.0 + 38.08 + 44.64,253.46
70 + 67.12 + 21 + 62.41 + 31.94 + 82,334.47
45.37 + 62 + 38.26,145.63
56.5 + 11 + 52.33 + 55.61 + 29.11 + 85.31 + 72.28,362.14
83 + 42 + 19.64 + 9.14 + 77.09 + 65,295.87
16.62 + 51.47 + 30.45 + 8.53 + 61.79 + 25.69,194.55
89 + 49 + 44 + 57 + 67.77 + 32,338.77
2 + 78.49 + 53 + 16 + 54.49 + 95.75 + 44.64,344.37
24 + 4.64 + 38 + 18 + 16.8,101.44
85.6 + 65 + 6 + 3 + 31 + 45.69,236.29
42.98 + 71 + 98 + 97.9 + 43.63 + 66 + 50.49,470.0
35 + 23.56 + 89.15 + 25,172.71
62.18 + 57.38 + 17.74,137.3
75 + 4.29 + 18.94 + 80.08,178.31
35 + 89.21 + 56 + 95 + 60.97,336.18
11 + 81.34 + 18,110.34
9.43 + 87.73 + 24.79,121.95
26 + 98.74 + 83,207.74
4.25 + 91.52 + 61.91 + 62.15,219.83
85.2 + 27 + 75 + 59 + 85.95 + 20,352.15
90 + 98 + 5,193.0
65 + 42 + 24 + 40.14 + 33.33 + 53.2,257.67
70 + 22.6 + 51.86,144.46
80 + 71 + 32.24 + 2.92,186.16
100 + 41.1 + 68 + 12.77 + 94.31 + 69.29,385.47
3.74 + 71 + 84.09 + 83,241.83
90.57 + 4 + 58 + 59,211.57
99.64 + 39 + 11.05 + 46.83 + 89.28 + 89.66,375.46
3 + 10 + 67 + 52.33 + 19,151.33
23.85 + 10 + 79.71 + 9,122.56
38.18 + 81.53 + 83.22 + 1,203.93
38.43 + 66.66 + 8.81 + 41.61 + 93 + 95 + 32.79,376.3
46 + 77 + 99.99 + 11.24 + 51.49 + 67.54 + 86,439.26
98.49 + 25.52 + 94 + 100 + 34 + 56.91 + 100,508.92
83 + 67 + 23.53 + 45 + 51,269.53
92.85 + 69 + 43 + 35 + 88 + 1,328.85
29.45 + 84.55 + 88 + 98.55 + 53 + 67.97,421.52
1.01 + 85 + 14.11 + 19 + 54 + 68.08 + 47,288.2
10.07 + 74.82 + 40.1 + 66.88 + 93 + 4.76 + 60,349.63
77 + 27 + 96 + 74.59 + 62 + 3,339.59
51 + 47.32 + 1.32,99.64
10.3 + 36 + 68 + 97.23,211.53
39 + 32 + 68.42 + 15 + 6.71 + 13,174.13
