Question,Answer
95.41 + 30.44 + 20.71 + 7.59 + 84,238.15
42.33 + 74 + 50.5 + 68 + 24.42,259.25
21.45 + 17.67 + 52 + 68 + 62,221.12
28 + 33 + 45 + 60.1 + 87.52,253.62
53 + 68 + 89,210.0
15.19 + 62.86 + 33 + 25 + 54.25,190.3
40.77 + 52.88 + 49.97 + 43.14 + 76 + 53 + 40,355.76
81 + 47.48 + 39 + 22.18 + 35 + 71 + 66,361.66
26 + 86 + 11.96,123.96
82 + 20 + 38.22 + 79 + 84.2,303.42
13.01 + 54.47 + 82.03 + 8.43 + 86.87,244.81
56.0 + 24.91 + 6.69,87.6
55 + 82.2 + 32 + 27 + 52.6 + 74.93 + 68,391.73
51.84 + 32 + 29.43 + 16 + 29.17,158.44
18 + 44 + 13.88 + 50 + 17 + 30.61,173.49
84.88 + 97.13 + 81.4 + 2.18 + 73 + 43.49,382.08
63 + 14.65 + 45 + 25.4,148.05
64 + 81.52 + 5.61 + 25 + 69.16 + 11.74,257.03
69 + 54 + 82 + 61 + 92 + 63,421.0
23.26 + 67 + 39 + 56 + 75.44 + 16.06 + 91.69,368.45
80.84 + 67 + 30.05 + 58.04 + 73.47 + 1 + 98.24,408.64
67 + 99 + 44.79 + 19 + 84.57 + 1,315.36
7.33 + 18 + 6.6 + 98.48,130.41
18 + 65.82 + 87.92,171.74
57 + 55 + 29 + 100,241.0
28 + 81 + 25.5 + 97.47,231.97
86.8 + 65.5 + 9,161.3
67.13 + 11.98 + 8 + 98 + 16,201.11
68 + 73.57 + 69.92,211.49
10.72 + 42.94 + 19.33 + 72.16 + 1.63 + 94 + 71,311.78
92.15 + 95 + 75.55 + 30 + 32.05 + 77,401.75
23 + 11 + 34 + 50.81 + 22 + 86 + 72.83,299.64
89.2 + 1.64 + 61 + 12 + 75.43,239.27
93.45 + 99 + 95.51 + 52 + 71,410.96
44.4 + 43.63 + 10.79,98.82
19.45 + 21.62 + 59 + 51,151.07
97 + 85.73 + 30.7 + 92.29,305.72
57 + 13.25 + 85 + 24 + 43 + 21.03,243.28
45 + 18 + 52.69 + 68.48 + 17.82 + 3.38 + 19,224.37
71.36 + 35 + 36 + 64.69 + 70.97 + 14,292.02
70 + 40.97 + 71.5 + 71 + 11,264.47
73 + 62 + 82,217.0
86 + 56.95 + 62.95 + 23 + 36.57 + 6,271.47
86.9 + 17 + 36 + 27 + 3.54 + 44.34 + 27,241.78
62 + 65 + 44.32 + 78 + 59.31,308.63
41.06 + 40 + 32,113.06
67.29 + 84.2 + 26.67 + 68.06 + 24,270.22
63 + 38.99 + 50.85 + 75 + 45.7 + 56 + 19,348.54
40 + 95.99 + 19 + 79 + 36.71 + 90,360.7
24.15 + 48 + 14.76 + 86.8 + 77 + 12.09,262.8
22 + 39.6 + 25 + 75 + 44 + 23.26,228.86
79 + 32.34 + 76 + 21 + 47 + 58 + 34.75,348.09
48 + 91.2 + 84 + 82 + 2 + 41.68 + 83.76,432.64
21.57 + 61 + 29 + 49.8,161.37
69.55 + 79.34 + 95.78 + 29.45 + 56.71 + 12.65,343.48
44 + 6.63 + 33.09,83.72
22 + 81.13 + 98.9 + 44 + 87,333.03
82 + 28 + 86 + 89 + 6.06,291.06
6.33 + 73 + 26.54 + 85 + 1.09,191.96
56.89 + 65 + 91 + 83.22,296.11
15.47 + 50 + 47,112.47
