Question,Answer
83 - 18 - 49.09 - 81.59 - 1.57,-67.25
4 - 98.96 - 26 - 30 - 18,-168.96
5 - 4.85 - 40,-39.85
75.76 - 8 - 39.52,28.24
81.94 - 100 - 42 - 27,-87.06
24 - 97.47 - 97.82 - 43 - 86.08,-300.37
41 - 95,-54.0
76 - 17 - 20.92 - 66 - 73.96,-101.88
66.37 - 52 - 54 - 90,-129.63
72.37 - 24.82,47.55
40.59 - 52 - 99,-110.41
69 - 71.77 - 61.88 - 36.49 - 95.13,-196.27
62.62 - 84 - 36 - 3 - 74.45,-134.83
21 - 61,-40.0
74.38 - 27.86 - 26 - 65 - 66,-110.48
93 - 21,72.0
88.65 - 12.7 - 84 - 42.64,-50.69
50.44 - 95.55,-45.11
51 - 37.1 - 66.35 - 36.84 - 73.83,-163.12
6.61 - 46 - 3.99,-43.38
72.15 - 96 - 16 - 28,-67.85
99.06 - 32 - 6.75 - 89.13 - 93,-121.82
48 - 48.71,-0.71
50 - 53.85 - 11 - 20.79,-35.64
54 - 9 - 92 - 16.69,-63.69
71.61 - 26.39 - 27.16,18.06
39 - 30.54 - 84 - 46,-121.54
64.12 - 35.57 - 37.55 - 2 - 19.35,-30.35
96.3 - 96 - 83.44 - 88.61,-171.75
81 - 46 - 6.02 - 64,-35.02
29 - 27,2.0
63 - 42 - 33.18,-12.18
93.27 - 98.7 - 17 - 54.48,-76.91
63 - 90.83,-27.83
60.53 - 48.3,12.23
25.52 - 27,-1.48
26 - 81,-55.0
84 - 75.26,8.74
11 - 85 - 86.1 - 17 - 13.77,-190.87
7.38 - 21 - 66 - 93,-172.62
35 - 3.93,31.07
32 - 5.31 - 50 - 33.32,-56.63
87.68 - 53 - 14.03 - 21.54 - 71.47,-72.36
17.3 - 46.8 - 8 - 73,-110.5
95 - 23.62 - 83.96,-12.58
82.48 - 41.71 - 68 - 72 - 64.67,-163.9
10 - 46.17,-36.17
63 - 77.1 - 51 - 18 - 78.35,-161.45
67.45 - 73.38 - 75 - 85 - 47,-212.93
75 - 92 - 13 - 53,-83.0
8.29 - 34 - 56.46 - 21,-103.17
27 - 89.36 - 69.47 - 40 - 86.53,-258.36
81.9 - 40 - 79,-37.1
68 - 79 - 94.69,-105.69
88 - 14.99 - 65 - 12.14,-4.13
27 - 78.02 - 77 - 88 - 1,-217.02
24.05 - 71 - 78.99 - 16.16 - 34.01,-176.11
88 - 52.41,35.59
98.24 - 32.51 - 60.79,4.94
30 - 74 - 50 - 18.36,-112.36
84 - 38 - 30 - 77.38 - 12.01,-73.39
83.39 - 87.21 - 33.76,-37.58
14.42 - 79 - 72.47,-137.05
43.43 - 77.86 - 3.54,-37.97
55.17 - 52 - 25,-21.83
59 - 25 - 69.33,-35.33
81 - 16 - 77 - 6.2,-18.2
24.5 - 72 - 19.63 - 77 - 33.63,-177.76
66 - 78 - 81 - 1.41 - 69,-163.41
52 - 47 - 29.69,-24.69
49.83 - 69.74,-19.91
74.25 - 69.07 - 50.6 - 3.57 - 23,-71.99
84 - 34,50.0
95.38 - 23.53 - 89.39,-17.54
66 - 64 - 95 - 37 - 89.57,-219.57
17 - 14,3.0
99.49 - 51 - 66.2,-17.71
63 - 47.48 - 54,-38.48
24 - 99 - 19.68 - 46.68 - 31,-172.36
59.68 - 3.92,55.76
88.54 - 52,36.54
30 - 91 - 16 - 38 - 59,-174.0
5.05 - 64.99,-59.94
39.24 - 43,-3.76
49 - 81.87,-32.87
67 - 81 - 67.66,-81.66
95.49 - 83 - 59.32 - 1,-47.83
90.8 - 91.33 - 64.5,-65.03
8 - 64.64 - 98,-154.64
45.17 - 6 - 26.54 - 85 - 89.09,-161.46
83.03 - 77 - 68.82 - 38,-100.79
95 - 99.42,-4.42
46 - 58.91 - 10 - 100 - 69.29,-192.2
98.7 - 37.96 - 39.94 - 74,-53.2
95 - 89 - 6,0.0
53 - 32 - 19 - 43.68,-41.68
48.23 - 59.58 - 38 - 61 - 36.24,-146.59
79 - 85 - 18 - 15,-39.0
40.07 - 54.65 - 89,-103.58
37 - 77.35 - 66.64 - 35,-141.99
68.31 - 57.31 - 85.66 - 38,-112.66
56 - 65.03 - 11,-20.03
11.34 - 69,-57.66
38.63 - 55.12,-16.49
13.18 - 3 - 63 - 49.5,-102.32
4.32 - 38.74 - 6.26 - 21,-61.68
72.29 - 74 - 79 - 3.96 - 33,-117.67
99 - 2 - 16 - 15.99 - 60,5.01
23.1 - 50.68,-27.58
71 - 55.44 - 13 - 32 - 73,-102.44
4 - 64.61 - 51 - 23.08 - 60,-194.69
3 - 13 - 76 - 44 - 77.42,-207.42
82.79 - 22.43 - 50.77,9.59
30 - 71 - 43 - 11 - 83,-178.0
26 - 48 - 82,-104.0
97 - 77 - 1.53,18.47
72 - 84.43 - 6 - 45,-63.43
69.77 - 91 - 16.52 - 80 - 59.35,-177.1
22.41 - 98.94 - 46.5 - 22,-145.03
81 - 74.45 - 85.24,-78.69
69.7 - 57,12.7
16 - 52.3,-36.3
3 - 71 - 51.58,-119.58
52 - 54.88 - 73 - 16,-91.88
32.75 - 74,-41.25
89 - 1 - 96 - 67.06,-75.06
58 - 89.42,-31.42
96 - 16 - 85 - 82.02 - 18,-105.02
94 - 73,21.0
33 - 78.87 - 66.82,-112.69
3.88 - 46.73 - 55 - 44 - 15,-156.85
63.43 - 20.33 - 47 - 100 - 89,-192.9
35.63 - 69,-33.37
63 - 66 - 82.28,-85.28
89 - 40 - 97 - 84 - 95.18,-227.18
87.41 - 97 - 33.39 - 74,-116.98
85.05 - 8.0 - 16 - 84.82 - 44.16,-67.93
26.84 - 75 - 34 - 79.74 - 83.16,-245.06
60 - 98 - 5.6 - 68.44 - 60.91,-172.95
15 - 59.04 - 3.96 - 9 - 76,-133.0
62.21 - 53 - 3.24 - 37,-31.03
3 - 57.45,-54.45
53.12 - 88.13,-35.01
50.41 - 27.83 - 2.3 - 94.36,-74.08
66 - 47 - 62.16 - 32.17,-75.33
26 - 41 - 96,-111.0
33.39 - 35.69 - 66.89 - 91.55 - 55.92,-216.66
20.91 - 83.41 - 82.03 - 28,-172.53
84.1 - 43.41 - 87 - 45 - 93.69,-185.0
6 - 41.35 - 59.66,-95.01
85 - 61 - 50.8 - 96 - 6.07,-128.87
77 - 57.27 - 47.62 - 6 - 51,-84.89
48 - 97.94 - 9,-58.94
12 - 86 - 12 - 40.32,-126.32
88 - 10.42 - 64 - 7 - 54.67,-48.09
62.3 - 56 - 46.46 - 4 - 42,-86.16
16 - 95 - 70 - 19,-168.0
3.96 - 64 - 33.51,-93.55
22.83 - 99.66 - 28.71 - 2.56 - 35,-143.1
57 - 57 - 15,-15.0
4 - 21,-17.0
93 - 84 - 9 - 46 - 95,-141.0
86.59 - 4,82.59
7.82 - 72 - 11.67,-75.85
56.98 - 69 - 83 - 99 - 93.99,-288.01
97 - 1 - 48.06,47.94
12.25 - 87 - 56,-130.75
4 - 64 - 55.82,-115.82
33.98 - 57.74 - 41 - 58.34 - 19,-142.1
49.43 - 47.64,1.79
69.93 - 68 - 73.05,-71.12
78 - 70 - 87.08,-79.08
91 - 37 - 41 - 97,-84.0
7 - 29.59,-22.59
26 - 97.78 - 37 - 48,-156.78
61.83 - 32,29.83
40.02 - 29 - 73 - 62.25,-124.23
25.71 - 47,-21.29
19 - 40 - 82 - 50.05 - 57.22,-210.27
62.56 - 42.99 - 39.43 - 44,-63.86
85 - 90 - 97 - 73,-175.0
12 - 79 - 96,-163.0
38.97 - 51.03 - 8.56 - 49 - 81,-150.62
58.08 - 65 - 18.14 - 7.04 - 25,-57.1
85 - 10 - 31,44.0
10.01 - 88.66,-78.65
15.96 - 94,-78.04
62.54 - 42.94 - 68 - 67 - 92,-207.4
73.56 - 6 - 78 - 31.95 - 73.45,-115.84
38.99 - 34.28 - 28,-23.29
8.04 - 32.08 - 57.78 - 48.57,-130.39
95.79 - 33,62.79
