Question,Answer
(16 / 16),1
(16 - 4),12
((14 - 20) * 20),-120
(1 + 15),16
((13 * 14) - 6),176
(9 / 9),1
((2 + 8) - 4),6
(4 - 16),-12
(12 / 2),6
(2 * 15),30
((11 - 17) + 4),-2
(6 * 10),60
((1 - 20) + 17),-2
((20 + 16) * 8),288
((17 - 4) + 9),22
(7 + 15),22
(18 - 16),2
(9 - 19),-10
(14 + 12),26
((6 - 7) - 17),-18
((11 / 11) * 13),13
(6 * 14),84
(12 - 12),0
(19 - 13),6
(7 - 2),5
(13 * 16),208
(2 + 20),22
(19 - 5),14
((6 - 9) - 17),-20
(11 * 19),209
((16 + 3) * 4),76
(12 * 19),228
(17 + 5),22
(18 - 7),11
((20 - 6) * 14),196
(7 - 18),-11
(14 * 16),224
((13 - 13) / 1),0
(6 * 1),6
(17 * 7),119
(19 - 19),0
(2 + 13),15
(11 - 17),-6
(19 * 8),152
(20 + 1),21
((1 - 9) / 8),-1
(11 * 11),121
((15 * 4) * 13),780
((7 * 19) - 1),132
((4 * 9) + 18),54
(17 - 1),16
(3 - 3),0
(14 - 20),-6
((6 * 2) + 16),28
((9 - 12) * 16),-48
(7 + 12),19
(15 * 12),180
(20 - 17),3
(14 + 9),23
((14 / 7) + 15),17
((20 + 8) + 12),40
((13 + 14) * 6),162
((10 - 12) * 16),-32
((15 - 19) * 6),-24
(10 * 2),20
(10 - 18),-8
(13 - 18),-5
((9 * 13) - 2),115
(18 - 12),6
((13 + 3) + 7),23
(7 + 12),19
((15 * 6) + 14),104
(6 / 2),3
((10 * 6) + 3),63
((3 + 9) * 7),84
((11 + 20) + 4),35
(13 * 3),39
(6 * 12),72
((15 * 5) + 13),88
(17 + 1),18
((15 * 14) / 6),35
(17 * 17),289
(20 + 20),40
((8 * 2) / 1),16
(19 * 20),380
(14 + 3),17
((15 * 13) - 15),180
(5 * 6),30
((1 - 16) + 3),-12
((5 + 10) * 9),135
((14 * 14) - 12),184
(15 * 15),225
((2 - 12) - 15),-25
(11 - 4),7
((10 - 3) - 17),-10
(18 + 4),22
(17 - 15),2
((14 / 7) + 18),20
((18 * 5) + 15),105
(14 - 20),-6
(18 * 16),288
(15 - 14),1
((3 + 8) * 11),121
((20 * 10) / 1),200
((7 + 13) - 17),3
(18 + 13),31
((18 + 18) * 20),720
((9 - 9) * 3),0
((20 - 2) + 14),32
(20 * 5),100
((4 + 20) + 2),26
(10 * 18),180
((20 - 7) * 17),221
((13 + 20) * 15),495
((17 + 20) - 13),24
(17 + 10),27
(6 + 7),13
(6 * 15),90
(13 * 10),130
(10 * 11),110
(13 * 19),247
((12 + 7) + 13),32
(11 * 4),44
((12 - 9) * 14),42
((12 - 13) + 8),7
((15 - 15) + 1),1
(2 * 10),20
((4 - 2) - 12),-10
((13 - 14) + 13),12
(15 - 2),13
(10 * 5),50
((4 + 11) * 20),300
((18 - 12) + 10),16
((13 - 11) + 5),7
(20 * 10),200
(15 - 12),3
((16 - 7) + 13),22
((5 / 5) + 4),5
(12 * 7),84
(19 - 12),7
(13 + 11),24
(19 + 7),26
((13 - 8) - 11),-6
(19 * 9),171
((6 + 18) + 17),41
(1 + 15),16
((1 + 11) + 19),31
((7 * 4) + 13),41
(9 / 1),9
(14 * 1),14
((20 - 11) - 20),-11
(3 * 6),18
(8 + 7),15
((12 + 2) + 5),19
((18 - 16) * 4),8
(9 + 20),29
(6 + 11),17
(6 + 8),14
((5 + 6) + 15),26
(12 + 15),27
((18 * 15) - 20),250
(12 * 5),60
(14 * 6),84
(20 * 18),360
((18 / 9) - 11),-9
(4 - 18),-14
((19 - 1) * 20),360
(14 - 10),4
(3 + 20),23
((4 - 19) + 8),-7
((3 - 2) - 6),-5
(12 * 10),120
(12 + 3),15
((2 + 19) * 6),126
((5 * 11) + 10),65
((10 * 6) / 10),6
((14 - 2) * 11),132
(6 - 6),0
(16 * 10),160
((10 - 12) - 10),-12
((7 - 1) - 15),-9
(3 - 7),-4
((6 - 13) * 3),-21
((17 * 8) - 4),132
((13 - 13) + 5),5
((10 - 5) - 4),1
(5 + 6),11
(17 - 3),14
((16 * 13) - 8),200
(5 * 9),45
(11 + 5),16
((1 + 15) + 17),33
((12 - 12) * 17),0
((18 + 15) * 4),132
(11 * 1),11
(17 + 10),27
((6 + 20) - 17),9
(2 - 2),0
((10 - 17) - 10),-17
((1 - 19) * 18),-324
(16 * 7),112
(2 * 19),38
(20 * 2),40
(7 / 7),1
(17 - 2),15
(16 + 13),29
((5 - 8) / 3),-1
(2 * 9),18
((4 * 9) - 10),26
(10 + 10),20
(20 + 8),28
(3 - 2),1
(8 - 13),-5
(1 + 10),11
(10 / 10),1
((8 - 16) - 2),-10
((14 + 3) - 3),14
(16 - 14),2
(16 + 6),22
(15 / 15),1
(9 * 15),135
(4 - 6),-2
((5 / 5) - 19),-18
(1 * 11),11
((13 + 19) * 12),384
(19 + 12),31
(8 / 1),8
(8 + 18),26
(9 - 15),-6
(5 - 10),-5
(16 - 2),14
((8 - 10) + 4),2
(20 / 20),1
(5 + 10),15
(11 + 12),23
((9 + 14) + 15),38
(11 + 2),13
((6 - 12) + 1),-5
(1 * 14),14
(13 * 8),104
((8 + 5) - 4),9
(7 + 18),25
(3 - 5),-2
((4 - 19) + 3),-12
((7 * 2) - 6),8
((20 - 6) * 18),252
(4 * 8),32
(9 - 10),-1
((7 - 17) - 15),-25
((1 * 6) * 13),78
((3 + 5) + 10),18
(1 + 12),13
((1 - 14) - 4),-17
((7 - 13) * 4),-24
(12 * 15),180
((7 - 17) - 3),-13
((16 * 19) - 3),301
((15 + 18) + 19),52
((20 + 17) + 13),50
(4 / 1),4
((20 / 1) + 11),31
((1 - 2) + 13),12
(19 - 2),17
((9 * 11) - 13),86
((20 - 4) - 9),7
(14 - 3),11
((9 - 17) + 14),6
((4 * 12) + 9),57
((9 * 5) - 7),38
(13 * 16),208
(14 - 4),10
(9 - 18),-9
((12 - 20) * 16),-128
(13 * 15),195
(1 * 3),3
(5 * 11),55
((12 + 13) - 6),19
(7 - 13),-6
(4 - 5),-1
(13 + 20),33
((13 + 15) * 7),196
(2 * 16),32
((18 * 9) + 13),175
((2 * 12) * 19),456
(2 - 14),-12
(20 / 5),4
(9 * 20),180
((16 + 5) + 5),26
(8 * 7),56
(7 - 19),-12
((19 - 3) + 20),36
((17 * 4) / 17),4
(18 - 11),7
(13 * 18),234
(5 - 15),-10
(15 + 11),26
(5 * 13),65
(3 + 2),5
(1 * 16),16
((2 - 18) * 13),-208
((20 - 5) - 20),-5
(19 + 13),32
((15 + 9) * 1),24
(20 / 4),5
((17 * 7) - 17),102
((1 * 18) + 19),37
((8 + 10) * 4),72
((5 + 15) - 5),15
((5 + 20) + 1),26
(19 * 9),171
((18 - 17) + 13),14
((18 * 8) * 5),720
(20 - 19),1
(17 * 14),238
(13 + 3),16
((2 - 10) * 17),-136
((8 + 12) + 2),22
(1 - 15),-14
(11 + 16),27
((20 + 20) * 18),720
(1 - 16),-15
((15 + 10) - 7),18
((19 + 16) - 15),20
((1 - 18) - 17),-34
(5 - 16),-11
(5 + 19),24
(5 + 18),23
(13 - 7),6
(12 * 8),96
(11 + 14),25
(13 + 14),27
((20 * 1) + 2),22
((5 - 16) * 16),-176
(7 * 9),63
((4 + 12) / 16),1
(13 + 17),30
((5 * 12) * 16),960
(12 - 17),-5
((8 + 12) - 1),19
(11 * 10),110
(18 + 17),35
((11 - 16) * 17),-85
((12 * 7) * 4),336
(20 - 12),8
(9 - 17),-8
((6 - 9) * 1),-3
((7 * 4) - 18),10
(2 * 8),16
((3 * 4) * 4),48
((9 - 9) - 14),-14
((16 + 10) + 3),29
((16 - 4) - 11),1
(4 - 8),-4
(7 + 10),17
(1 + 19),20
(10 + 18),28
((4 * 16) + 4),68
((18 - 13) * 15),75
((1 * 12) + 15),27
(5 - 1),4
(17 * 7),119
(19 * 16),304
(14 * 15),210
(14 * 2),28
((14 + 15) * 20),580
((2 + 20) * 12),264
((8 - 8) * 3),0
(16 + 17),33
((20 / 6) * 9),30
((18 * 19) + 3),345
(3 * 7),21
(4 + 3),7
((4 + 14) * 10),180
((13 + 7) - 19),1
(7 + 1),8
((13 * 8) - 10),94
(20 + 16),36
(17 - 17),0
(13 * 9),117
(16 / 8),2
(16 + 13),29
(11 * 20),220
((20 * 10) / 1),200
(20 + 1),21
(20 / 5),4
((6 + 19) + 17),42
(7 * 17),119
((8 * 2) * 16),256
((19 + 18) * 20),740
(11 - 19),-8
(19 + 4),23
((15 + 3) / 3),6
((7 + 17) - 19),5
(20 + 12),32
((3 - 14) - 19),-30
(12 + 12),24
(4 * 12),48
(18 * 2),36
(3 + 1),4
(14 * 5),70
(2 * 17),34
(12 + 15),27
(1 - 3),-2
(1 - 7),-6
((10 * 19) - 5),185
(10 - 14),-4
((14 + 7) / 1),21
((5 - 3) + 17),19
(8 * 16),128
((12 - 1) - 9),2
((8 / 10) * 10),8
((15 + 8) + 11),34
((20 + 10) / 1),30
(18 - 14),4
((12 - 7) * 18),90
(17 * 8),136
(4 * 11),44
((3 - 11) + 4),-4
(5 + 12),17
(5 * 16),80
(17 + 12),29
((3 + 15) + 2),20
(12 - 10),2
((4 * 10) + 16),56
(12 * 19),228
(1 - 5),-4
((5 - 17) - 13),-25
(13 - 2),11
(4 - 16),-12
((4 * 15) - 7),53
(17 - 5),12
((2 - 9) - 1),-8
((4 - 11) * 2),-14
(11 * 2),22
((10 * 2) - 2),18
((14 - 17) * 3),-9
(18 + 13),31
((1 - 1) * 20),0
(5 * 5),25
(13 + 19),32
(14 - 7),7
(17 - 18),-1
(3 - 14),-11
(17 * 4),68
((2 - 16) - 12),-26
(3 - 11),-8
(16 * 18),288
((5 - 1) + 14),18
(5 + 2),7
(13 + 1),14
(14 * 11),154
(1 - 13),-12
((8 / 1) * 6),48
(10 + 3),13
((16 - 13) * 13),39
((6 - 15) + 17),8
(7 * 7),49
((12 * 15) - 13),167
(14 * 14),196
((19 * 19) - 14),347
((2 - 2) * 12),0
(16 / 2),8
((8 - 2) * 19),114
(15 - 13),2
((5 / 5) + 5),6
(13 * 8),104
((11 - 15) * 19),-76
