Question,Answer
2972.75 - 3528.93,-556.18
-2435.75 - 1351.24,-3786.99
-270.17 - 1803.17,-2073.34
2038.71 - 4611,-2572.29
3496.21 - 857.51,2638.7
518.11 - -48.92,567.03
-3751.51 - 3568,-7319.51
520.41 - 731.36,-210.95
248.31 - -1849.64,2097.95
-1701.0 - -3013.67,1312.67
-2087.87 - 4884.84,-6972.71
-3261.55 - 4128.37,-7389.92
-1724 - -556,-1168.0
-761.03 - 1522,-2283.03
4717 - 4234.36,482.64
2629.05 - 3303.46,-674.41
-2449 - -3653,1204.0
2867 - -4811.19,7678.19
1122.16 - -4767,5889.16
2494 - -2774.98,5268.98
-1093.95 - -1673,579.05
944.02 - 3429.59,-2485.57
858.25 - 4314.66,-3456.41
-3864.63 - -2306.47,-1558.16
-832.91 - 1199.58,-2032.49
1826.02 - -2084,3910.02
-2143.9 - -2522.75,378.85
2621.47 - 2332.61,288.86
-1292.05 - 3619,-4911.05
-4739 - -2635.04,-2103.96
-3682.44 - -1411.16,-2271.28
4046 - -2414.82,6460.82
3185 - -191.47,3376.47
-1771.99 - -2627.16,855.17
-683.61 - 2950.84,-3634.45
-375.68 - -298,-77.68
-17 - -4007.09,3990.09
-3497.61 - -1767.35,-1730.26
-2676.81 - -2245.94,-430.87
-513.4 - 1723,-2236.4
-4373.42 - -4743,369.58
-727.56 - -1491.48,763.92
4896.73 - -3297.61,8194.34
-3740.92 - 798,-4538.92
-1951.81 - -554.16,-1397.65
-4983.55 - -2979.85,-2003.7
-4607.26 - 4333.8,-8941.06
3567.21 - 2645.71,921.5
3296.18 - -2400.15,5696.33
-1808.36 - 762,-2570.36
1173.55 - 1888,-714.45
-93 - -4569.38,4476.38
1228 - -316,1544.0
-3187.75 - -240,-2947.75
-116.7 - 606,-722.7
1034 - 4133,-3099.0
-277.68 - -463.57,185.89
4485.59 - -3788.55,8274.14
120.03 - 585.36,-465.33
-1765.81 - 4531.72,-6297.53
-1234.58 - 2038,-3272.58
748.23 - 4207,-3458.77
2127 - -759.58,2886.58
1326.07 - 3417.56,-2091.49
-4500.0 - 3564.7,-8064.7
-657.68 - 2826.94,-3484.62
3701.17 - 3398.97,302.2
-3027 - -284.09,-2742.91
-311.16 - -4933.18,4622.02
-742.87 - 2408,-3150.87
-1496 - -4638.35,3142.35
-175.45 - 2752,-2927.45
1337.89 - 4159.75,-2821.86
-1606.13 - -2029,422.87
-2640 - 3930,-6570.0
-1144 - -2221.72,1077.72
-1735.37 - 1116.49,-2851.86
-844.0 - 600.79,-1444.79
-1002.57 - 816.49,-1819.06
-2154.4 - 2838.8,-4993.2
2536.01 - -71.7,2607.71
-3454.05 - -2677.75,-776.3
-1279.18 - 3607.51,-4886.69
-3634.6 - -3688.54,53.94
-125.51 - 1376.07,-1501.58
-1063 - 519.91,-1582.91
-2811.58 - 2318.28,-5129.86
-450.59 - -3356,2905.41
1762 - -4651,6413.0
-588.36 - -508.96,-79.4
4999.53 - 2802,2197.53
1656 - -1980.92,3636.92
3310 - -673.04,3983.04
3503.07 - 1495.4,2007.67
-1950.94 - -4655,2704.06
3777.06 - -4607.32,8384.38
4122.7 - -3256.78,7379.48
838.25 - 1580,-741.75
3960.2 - 2839.29,1120.91
-3548.12 - -4332.85,784.73
-1897.66 - -2654.21,756.55
1174.06 - -1694.31,2868.37
-865.09 - -964.67,99.58
-2550.44 - -1293.47,-1256.97
3294.4 - 1459,1835.4
4295.69 - 1738.74,2556.95
