Question,Answer
66.86 - 71.66 - 29.12 - 33,-66.92
20.82 - 27 - 89.77 - 38.04,-133.99
58.21 - 95.71 - 82.87 - 16.78,-137.15
23 - 87 - 57 - 73,-194.0
29.55 - 17.29 - 65 - 58.99,-111.73
88.65 - 82.06 - 84.21 - 30,-107.62
44 - 1 - 69 - 12.6,-38.6
87.01 - 43.14 - 96 - 17.47,-69.6
75 - 32.58 - 21.91 - 38,-17.49
71 - 81 - 6 - 68.24,-84.24
69.32 - 36 - 39 - 84,-89.68
84 - 53.69 - 3 - 50,-22.69
9.16 - 39.33 - 56 - 82.86,-169.03
27 - 55 - 45.45 - 93,-166.45
24.26 - 38 - 31 - 32,-76.74
77 - 30.75 - 38.53 - 46,-38.28
54 - 49.11 - 41.27 - 83.56,-119.94
4 - 15.49 - 74 - 89.65,-175.14
43.01 - 90 - 62.65 - 49,-158.64
86 - 76.12 - 100 - 85,-175.12
71 - 17.04 - 30 - 44.16,-20.2
87 - 1 - 27.73 - 22.39,35.88
50.91 - 71.65 - 98.15 - 94.42,-213.31
78.92 - 66 - 79 - 19.5,-85.58
60 - 40 - 9.46 - 63,-52.46
87 - 60.48 - 76.85 - 58,-108.33
84.59 - 29 - 74 - 56,-74.41
43 - 2.25 - 69.21 - 55,-83.46
98 - 94 - 20.14 - 65.8,-81.94
32 - 80.85 - 61 - 35.53,-145.38
20.36 - 66 - 48 - 82,-175.64
14 - 8 - 45 - 46.21,-85.21
37.46 - 82.64 - 4.3 - 41,-90.48
41.6 - 90 - 84 - 99,-231.4
83.05 - 18.84 - 41.5 - 9.13,13.58
59.18 - 12.38 - 9.56 - 43.48,-6.24
22.01 - 82.74 - 74.96 - 52.12,-187.81
67.57 - 52.24 - 82.82 - 24,-91.49
85 - 10.31 - 47 - 16,11.69
74.28 - 49.1 - 36 - 5,-15.82
19.5 - 39.06 - 50.58 - 46,-116.14
17 - 64.4 - 83 - 97,-227.4
29 - 83.87 - 23 - 17.44,-95.31
36.04 - 67 - 44.51 - 67.94,-143.41
42 - 23.71 - 75.49 - 85,-142.2
56 - 87.26 - 96.28 - 82.57,-210.11
